# word	phonemes	register
এককেও	e k o k e O	native
এককেন্দ্রিক	e k k e n d ri k	tatsama
এককের	e k o k e r	native
এককোশি	e k k O sh i	native
একখন্ড	e k kh o n D o | e k kh o n D O	native
একখান	e k kh a n	native
একখানা	e k kh a n a	native
একখানি	e k kh a n i	native
একখানে	e k kh a n e	native
একগাদা	e k g a d a	native
একগাল	e k g a l	native
একগুয়ে	e k g u y e	native
একগুয়েমি	e k g u y e m i	native
একগুয়েমির	e k g u y e m i r	native
একগুচ্ছ	e k g u ch chh O	native
একগোছা	e k g O chh a	native
একগ্লাস	e k g l a sh	loanword
একঘন্টা	e k gh o n T a	native
একঘন্টার	e k gh o n T a r	native
একঘরে	e k gh O r e	native
একঘেয়ে	e k gh e y e	native
একঘেয়েমি	e k gh e y e m i	native
একঘেয়েমিতে	e k gh e y e m i t e	native
একঘেয়েমির	e k gh e y e m i r	native
একচক্ষু	e k ch o k kh u	tatsama
একচালা	e k ch a l a	native
একচিলতে	e k ch i l t e	native
একচুল	e k ch u l	native
একচুলও	e k ch u l O	native
একচেঞ্জ	e k ch e n j	loanword
একচেঞ্জের	e k ch e n j e r	loanword
একচেটিয়া	e k ch e T i y a	native
একচেটিয়াভাবে	e k ch e T i y a bh a b e	native
একচোখা	e k ch O kh a	native
একচোট	e k ch O T	native
একচ্ছত্র	e k O ch chh o t r O	tatsama
একচ্ছত্রভাবে	e k o ch chh o t r o bh a b e	tatsama
একজন	e k j O n	native
একজনই	e k j o n i	native
একজনও	e k j o n O	native
একজনকে	e k j O n k e	native
একজনকেই	e k j o n k e i	native
একজনকেও	e k j o n k e O	native
একজনমাত্র	e k j o n m a t r o	native
একজনসহ	e k j o n sh o h o	native
একজনে	e k j o n e	native
একজনের	e k j O n e r	native
একজনেরই	e k j o n e r i	native
একজনেরও	e k j o n e r O	native
একজাতিয়	e k j a t i O	tatsama
একজিকিউটিভ	e k j i k i u T i bh	loanword
একজিবিশন	e k j i b i sh o n	loanword
একজিমা	e k j i m a	loanword
একজুগ	e k j u g | e k j u g	native
একজোগে	e k j O g e | e k j O g e	native
একজোট	e k j O T	native
একজোড়া	e k j O r a	native
একঝলক	e k jh o l O k	native
একঝাক	e k jh a k	native
একট	e k T o	native
একটা	e k T a	native
একটাই	e k T a i	native
একটাও	e k T a O	native
একটাকে	e k T a k e	native
একটাতে	e k T a t e	native
একটানা	e k T a n a	native
একটানে	e k T a n e	native
একটামাত্র	e k o T a m a t r o	native
একটার	e k T a r	native
একটায়	e k T a y	nativeএকটি	e k T i	unknown
একটিই	e k T i i	unknown
একটিও	e k T i O	unknown
একটিকে	e k T i k e	unknown
একটিতে	e k T i t e	unknown
একটিতেই	e k T i t e i	unknown
একটিতেও	e k T i t e O	unknown
একটিবার	e k T i b a r	unknown
একটিবারও	e k T i b a r o O	unknown
একটিবারের	e k T i b a r e r	unknown
একটিভ	e j a k T i bh	unknown
একটিমাত্র	e k T i m a t r O	unknown
একটির	e k T i r	unknown
একটিরও	e k T i r O	unknown
একটিসহ	e k T i sh o h O	unknown
একটু	e k T u	unknown
একটুও	e k T u O	unknown
একটুকরো	e j a k T u k r O	unknown
একটুকু	e k T u k u	unknown
একটুখানি	e k T u kh a n i	unknown
একটুতেই	e k T u t e i	unknown
একটুর	e k T u r	unknown
একটেল	e k T e l	unknown
একটেলের	e k T e l e r	unknown
একতরফা	e j a k t o r ph a	unknown
একতরফাই	e k t o r ph a i	unknown
একতরফাভাবে	e j a k t o r ph a bh a b e	unknown
একতলা	e j a k t o l a	unknown
একতলার	e j a k t o l a r	unknown
একতলায়	e k t o l a y	unknown
একতা	e j a k O t a	unknown
একতাবদ্ধ	e j a k O t a b o d dh O	unknown
একতাবদ্ধভাবে	e k o t a b o d dh o bh a b e	unknown
একতার	e j a k O t a r	unknown
একতারা	e j a k t a r a	unknown
একতারার	e j a k t a r a r	unknown
একতায়	e k o t a y	unknown
একতেদা	e k t e d a	unknown
একত্ববাদ	e k o t t o b a d	unknown
একত্ববাদের	e j a k a t t O b a d e r	unknown
একত্র	e j a k O t r O	unknown
একত্রকরন	e k o t r o k o r o n	unknown
একত্রিত	e j a k O t r i t O	unknown
একত্রিশ	e j a k t ri sh	unknown
একত্রিকরন	e k o t r i k o r o n	unknown
একত্রিকরনের	e k o t r i k o r o n e r	unknown
একত্রে	e j a k O t r e	unknown
একথা	e k o th a	unknown
একথাও	e k o th a O	unknown
একদংগল	e k d o ng g o l	unknown
একদন্ড	e k d o n D o	unknown
একদফা	e j a k d o ph a	unknown
একদম	e j a k d o m	unknown
একদমই	e j a k d O m i	unknown
একদল	e j a k d o l	unknown
একদলকে	e k d o l k e	unknown
একদলা	e k d o l a	unknown
একদলিয়	e k d o l i y	unknown
একদলের	e k d o l e r	unknown
একদা	e j a k O d a	unknown
একদিক	e j a k d i k	unknown
একদিকে	e j a k d i k e	unknown
একদিকের	e j a k d i k e r	unknown
একদিন	e j a k d i n	unknown
একদিনও	e k d i n O	unknown
একদিনে	e j a k d i n e	unknown
একদিনেই	e k d i n e i	unknown
একদিনের	e j a k d i n e r	unknown
একদৃশ্টিতে	e j a k d ri sh T i t e | e k d ri sh T i t e	unknown
একধরনের	e k dh o r O n e r	unknown
একধাপ	e j a k dh a p	unknown
একধাপে	e k dh a p e	unknown
একধারে	e j a k dh a r e	unknown
একন	e k o n	unknown
একনজর	e j a k n o j O r	unknown
একনজরে	e j a k n o j O r e	unknown
একনম্বর	e j a k n o m b O r	unknown
একনলা	e k n o l a	unknown
একনা	e k n a	unknown
একনাগাড়ে	e k n a g a r e	unknown
একনামে	e j a k n a m e	unknown
একনায়ক	e k n a y o k	unknown
একনায়ককে	e k n a y o k k e	unknown
একনায়কতন্ত্র	e k n a y o k t o n t r o	unknown
একনায়কতন্ত্রি	e k n a y o k t o n t r i	unknown
একনায়কতন্ত্রের	e k n a y o k t o n t r e r o	unknown
একনায়কতান্ত্রিক	e k n a y o k t a n t r i k	unknown
একনায়কত্ব	e k n a y o k o t t o	unknown
একনায়কত্বের	e k n a y o k o t t e r	unknown
একনায়কদের	e k n a y o k d e r	unknown
একনায়কসুলভ	e k n a y o k sh u l o bh o	unknown
একনায়কি	e k n a y o k i	unknown
একনায়কের	e k n a y o k e r	unknown
একনায়কেরা	e k n a y o k e r a	unknown
একনিশ্ঠ	e j a k O n i sh Th O | e k o n i sh Th o	unknown
একনিশ্ঠভাবে	e j a k O n i sh Th O bh a b e | e k o n i sh Th o bh a b e	unknown
একনিশ্ঠতা	e k o n i sh Th o t a	unknown
একনেক	e k n e k	unknown
একনেকে	e k n e k e	unknown
একনেকের	e k n e k e r	unknown
একপক্ষ	e j a k p O k kh O	unknown
একপক্ষিয়	e k p o k kh i y	unknown
একপক্ষে	e k p o k kh e	unknown
একপক্ষের	e j a k p O k kh e r	unknown
একপর্যায়	e k p o r j a y	unknown
একপর্যায়ে	e k p o r j a y e	unknown
একপলক	e j a k p o l O k	unknown
একপশলা	e j a k p o sh l a	unknown
একপাক	e k p a k	unknown
একপাক্ষিক	e k p a k kh i k	unknown
একপাটি	e k p a T i	unknown
একপাল	e k p a l	unknown
একপাশ	e j a k p a sh	unknown
একপাশে	e j a k p a sh e	unknown
একপাশের	e k p a sh e r	unknown
একপায়ে	e k p a y e	unknown
একপেশে	e j a k p e sh e	unknown
একপ্রকার	e j a k p r O k a r	unknown
একপ্রকারের	e j a k p r O k a r e r	unknown
একপ্রান্ত	e k p r a n t O	unknown
একপ্রান্তে	e j a k p r a n t e	unknown
একফসলি	e k ph o sh o l i	unknown
একফাকে	e k ph a k e	unknown
একফালি	e k ph a l i	unknown
একফোটা	e k ph O T a | e j a k ph O T a	unknown
একবছর	e j a k b o chh O r	unknown
একবছরে	e j a k b o chh O r e	unknown
একবছরের	e j a k b o chh O r e r	unknown
একবাক্যে	e k b a k k e	unknown
একবাক্যেই	e k b a k k e i	unknown
একবার	e j a k b a r	unknown
একবারই	e j a k b a r i	unknown
একবারও	e j a k b a r O	unknown
একবারে	e j a k b a r e	unknown
একবারেই	e k b a r e i	unknown
একবারের	e j a k b a r e r	unknown
একবিংশ	e j a k O b i ng sh O	unknown
একবিজপত্রি	e j a k b i j p O t r i	unknown
একবিন্দু	e j a k b i n d u	unknown
একবিন্দুও	e k b i n d u O	unknown
একবিন্দুতে	e k b i n d u t e	unknown
একবুক	e k b u k	unknown
একবেলা	e j a k b e l a	unknown
একবেলার	e k b e l a r	unknown
একভাগ	e j a k bh a g	unknown
একভাবে	e j a k bh a b e	unknown
একভাশিক	e k bh a sh i k	unknown
একম	e k o m	unknown
একমঞ্চে	e k m o n ch e	unknown
একমত	e j a k m o t	unknown
একমতও	e k m o t o O	unknown
একমনে	e j a k m O n e	unknown
একমাত্র	e j a k m a t r O	unknown
একমাথা	e j a k m a th a	unknown
একমাস	e j a k m a sh	unknown
একমাসে	e j a k m a sh e	unknown
একমাসের	e j a k m a sh e r	unknown
একমি	e k m i	unknown
একমুখি	e j a k m u kh i | e k m u kh i	unknown
একমুঠো	e j a k m u Th O	unknown
একমুহুর্ত	e k m u h u r t o	unknown
একমের	e k o m e r	unknown
একমেলেদ্দিন	e k m e l e d d i n	unknown
একমেলেদ্দিনের	e k m e l e d d i n e r	unknown
একর	e j a k O r	unknown
একরংা	e j a k r o ng a | e k r o ng g a	unknown
একরকম	e j a k r o k O m	unknown
একরকমের	e j a k r o k O m e r	unknown
একরত্তি	e k r O t t i	unknown
একরপ্রতি	e j a k O r p r O t i	unknown
একরাট	e k r a T	unknown
একরাত	e j a k r a t	unknown
একরাতে	e j a k r a t e	unknown
একরাম	e k r a m	unknown
একরামকে	e k r a m k e	unknown
একরামুল	e k r a m u l	unknown
একরামুলের	e k r a m u l e r	unknown
একরামুল্লাহ	e k r a m u l l a h o	unknown
একরামের	e k r a m e r	unknown
একরাশ	e j a k r a sh	unknown
একরুপ	e j a k r u p | e k r u p	unknown
একরে	e j a k O r e	unknown
একরের	e k o r e r	unknown
একরোখা	e j a k r O kh a	unknown
একল	e k o l	unknown
একলগে	e k l o g e	unknown
একলপ্ত	e k l o p t O	unknown
একলব্য	e k l o b b o	unknown
একলা	e k l a	unknown
একলাই	o j a k l a i	unknown
একলাখ	e j a k l a kh	unknown
একলাফে	e j a k l a ph e	unknown
একলাসপুর	e k l a p u r	unknown
একলা–একলি	o j a k l a o j a k l i	unknown
একলি	e k O l i	unknown
একলিম	e k l i m	unknown
একলে	e k O l e	unknown
একশ	e j a k sh O	unknown
একশটি	e j a k sh O T i	unknown
একশত	e j a k sh o t O	unknown
একশর	e k sh o r	unknown
একশিরা	o j a k sh i r a	unknown
একশেশ	e k sh e sh	unknown
একশো	e j a k sh O	unknown
একশ্রেনির	e k sh r e n i r	unknown
একসংগে	e k sh o ng g e	unknown
একসংগেই	e k sh o ng g e i	unknown
একসনা	e k sh o n a	unknown
একসম্য	e j a k sh o m m O	unknown
একসময়	e j a k sh o m o y o	unknown
একসময়কার	e k sh o m o y k a r	unknown
একসময়ে	e k sh o m o y e	unknown
একসময়ের	e k sh o m o y e r	unknown
একসা	e k sh a	unknown
একসাথে	e j a k sh a th e	unknown
একসারসাইজ	e k sh a r sh a i j	unknown
একসুত্রে	e j a k sh u t r e | e k o sh u t r e	unknown
একসুরে	e k sh u r e	unknown
একসেপটেন্স	e k sh e p T e n sh	unknown
একসেস	e j a k sh e sh	unknown
একস্ট্যাসি	e k sh T A sh i	unknown
একস্ট্যাসিতে	e k sh T A sh i t e	unknown
একস্ট্যাসির	e k sh T A sh i r	unknown
একস্থানে	e j a k sh th a n e	unknown
একহাজার	e j a k h a j a r	unknown
একহাত	e j a k h a t	unknown
একহাতে	e j a k h a t e	unknown
একহারা	e j a k h a r a	unknown
একা	e j a k a	unknown
একাংশ	e j a k a ng sh O	unknown
একাংশও	e j a k a ng sh O O	unknown
একাংশকে	e j a k a ng sh O k e	unknown
একাংশে	e j a k a ng sh e	unknown
একাংশের	e j a k a ng sh e r	unknown
একাই	e j a k a i	unknown
একাউন্ট	e j a k a u n T	unknown
একাউন্টিং	e k a u n T i ng	unknown
একাউন্টে	e j a k a u n T e	unknown
একাউন্টেন্ট	e j a k a u n T e n T	unknown
একাকার	e j a k a k a r	unknown
একাকি	e k a k i	unknown
একাকিত্ব	e k a k i t t O	unknown
একাকিত্বকে	e k a k i t t o k e	unknown
একাকিত্বে	e k a k i t t e	unknown
একাকিত্বের	e k a k i t t e r	unknown
একাকৃতি	e k a k k ri t i o j a	unknown
একাগ্র	e j a k a g r O	unknown
একাগ্রচিত্তে	e j a k a g r O ch i t t e	unknown
একাগ্রতা	e k a g r o t a	unknown
একাগ্রতার	e k a g r o t a r	unknown
একাঘ্নি	e k a gh n i	unknown
একাংক;	e k a ng k O	unknown
একাজ	e k a j	unknown
একাজে	e k a j e	unknown
একাট্টা	e j a k a T T a	unknown
একাডেমি	e j a k a D e m i | e k a D e m i	unknown
একাডেমিও	e k a D e m i O	unknown
একাডেমিক	e j a k a D e m i k	unknown
একাডেমিকে	e j a k a D e m i k e	unknown
একাডেমিতে	e j a k a D e m i t e | e k a D e m i t e	unknown
একাডেমির	e j a k a D e m i r | e k a D e m i r	unknown
একাডেমিসহ	e j a k a D e m i sh o h O | e k a D e m i sh o h o	unknown
একাত্তর	e k a t t O r	unknown
একাত্তরকে	e j a k a t t O r k e	unknown
একাত্তরে	e k a t t O r e	unknown
একাত্তরেই	e k a t t o r e i	unknown
একাত্তরেও	e k a t t o r e O	unknown
একাত্তরের	e k a t t O r e r	unknown
একাত্ম	e j a k a t t O	unknown
একাত্মতা	e j a k a t t O t a	unknown
একাত্মতাও	e k a t t o t a O	unknown
একাত্মতার	e k a t t o t a r	unknown
একাত্মবাদ	e k a t t O b a d	unknown
একাত্মবোধ	e k a t t o b O dh	unknown
একাত্মা	e k a t t a	unknown
একাদশ	e j a k a d o sh	unknown
একাদশকে	e j a k a d o sh k e	unknown
একাদশটা	e k a d o sh T a	unknown
একাদশতম	e j a k a d o sh t o m O	unknown
একাদশি	e k a d O sh i	unknown
একাদশে	e j a k a d o sh e	unknown
একাদশেই	e k a d o sh e i	unknown
একাদশেও	e k a d o sh e O	unknown
একাদশের	e j a k a d o sh e r	unknown
একাদিক্রমে	e k a d i k r O m e	unknown
একাধার	e k a dh a r o j a	unknown
একাধারে	e j a k a dh a r e	unknown
একাধিক	e j a k a dh i k	unknown
একাধিকবার	e j a k a dh i k b a r	unknown
একাধিকভাবে	e k a dh i k bh a b e	unknown
একাধিকার	e k a dh i k a r	unknown
একাধিপ	e k a dh i k	unknown
একাধিপত্য	e j a k a dh i p o t t O	unknown
একানব্বই	e j a k a n O b b O i	unknown
একানব্বইয়ে	e k a n o b b o i y e	unknown
একানব্বইয়ের	e k a n o b b o i y e r	unknown
একান্ত	e j a k a n t O	unknown
একান্তই	e j a k a n t O i	unknown
একান্তভাবে	e k a n t O bh a b e	unknown
একান্তভাবেই	e j a k a n t O bh a b e i	unknown
একান্তর	e k a n t o r	unknown
একান্তে	e k a n t e	unknown
একান্ন	e j a k a n n O	unknown
একান্নবর্তি	e k a n n O b O r t i | e k a n n o b o r t i	unknown
একাব্বর	e j a k a b b o r	unknown
একাব্বরি	e k a b b o r i	unknown
একামেডিক	e k a m e D i k	unknown
একার	e j a k a r	unknown
একারই	e k a r i	unknown
একারনে	e k a r O n e	unknown
একারনেই	e k a r O n e i	unknown
একাল	e k a l	unknown
একালে	e k a l e	unknown
একালেও	e k a l e O	unknown
একালের	e k a l e r	unknown
একাশিয়া	e k a sh i y a	unknown
একাসন	e k a sh O n	unknown
একাহার	e k a h a r	unknown
একি	e k i	unknown
একিউআইএম	e k i u a i e m	unknown
একিউআইএমের	e k i u a i e m e r	unknown
একিউএপি	e k i u e p i	unknown
একিউজড	e k i u j o D	unknown
একিদা	e k i d a	unknown
একিভুত	e j a k i bh u t O | e k i bh u t o	unknown
একিয়া	e k i y a	unknown
একিকরন	e k i k o r O n o	unknown
একিভবন	e k i bh o b O n	unknown
একিভাব	e k i bh a b	unknown
একিভুতকরনের	e k i bh u t o k o r o n e r	unknown
একুইনো	e k u i n O	unknown
একুন	e k u n	unknown
একুল	e k u l O k u l	unknown
একুশ	e k u sh	unknown
একুশকে	e k u sh k e	unknown
একুশে	e k u sh e	unknown
একুশের	e k u sh e r	unknown
একুল–ওকুল	e k u l O k u l	unknown
একেএম	e k e e m	unknown
একেও	e k e O	unknown
একেক	e j a k e k	unknown
একেকজন	e j a k e k j o n	unknown
একেকজনকে	e j a k e k j o n k e	unknown
একেকজনের	e j a k e k j o n e r	unknown
একেকটা	e j a k e k T a	unknown
একেকটার	e k e k T a r	unknown
একেকটি	e j a k e k T i	unknown
একেকটির	e j a k e k T i r	unknown
একেকবার	e j a k e k b a r	unknown
একেকভাবে	e j a k e k bh a b e	unknown
একেকরকম	e j a k e k r o k O m	unknown
একেতো	e j a k e t O	unknown
একেনবেরি	e k e n b e r i	unknown
একেপি	e k e p i	unknown
একেপির	e k e p i r	unknown
একেবারে	e j a k e b a r e	unknown
একেবারেই	e j a k e b a r e i	unknown
একেবারের	e k e b a r e r	unknown
একের	e j a k e r	unknown
একেলা	e k e l a	unknown
একেলিয়ানা	e k e l i y a n a	unknown
একোইক	e k O i k	unknown
একো	e k O	unknown
একোদর	e k O d o r o j o	unknown
একোদ্দিশ্ট	e k O d d i sh T O	unknown
একোন	e k O n	unknown
একোয়া	e k O y a	unknown
এক্কা	e k k a	unknown
এক্কেবারে	e j a k k e b a r e	unknown
এক্কেরে	e k k e r e	unknown
এক্টিনমিটার	e j a k T i n m i T a r	unknown
এক্ষন	e k kh O n	unknown
এক্ষনে	e k kh o n e | e j a k kh o n e	unknown
এক্ষুনি	e k kh u n i	unknown
এক্ষেত্রে	e kh e t r e	unknown
এক্ষেত্রেও	e kh e t r e O	unknown
এক্স	e k sh	unknown
এক্সএফএক্স	e k sh e ph e k sh	unknown
এক্সএফএস	e k sh e ph e sh	unknown
এক্সএমএল	e k sh e m e l	unknown
এক্সএমসি	e k sh e m sh i	unknown
এক্সএল	e k sh e l	unknown
এক্সও	e k sh O	unknown
এক্সকেভেটর	e k sh k e bh e T o r	unknown
এক্সক্লুসিভ	e j a k sh k l u sh i bh	unknown
এক্সচেঞ্জ	e k sh ch e n j	unknown
এক্সচেঞ্জই	e k sh ch e n j i	unknown
এক্সচেঞ্জকে	e k sh ch e n j k e	unknown
এক্সচেঞ্জগুলো	e k sh ch e n j g u l O	unknown
এক্সচেঞ্জগুলোকে	e k sh ch e n j g u l O k e	unknown
এক্সচেঞ্জগুলোতে	e k sh ch e n j g u l O t e	unknown
এক্সচেঞ্জগুলোর	e k sh ch e n j g u l O r	unknown
এক্সচেঞ্জটি	e k sh ch e n j T i	unknown
এক্সচেঞ্জটিতে	e k sh ch e n j T i t e	unknown
