# word	respelling	converted_phonemes(may be incomplete)
ওশুধেও	ওশুধে্ও	O sh u dh e O
ওশুধের	ওশুধে্র্	O sh u dh e r
ওয়ার্ডেই	ওয়ার্ডে্ই	O y a r D e i
ওয়ার্ডেও	ওয়ার্ডে্ও	O y a r D e O
ওয়ার্ডের	ওয়ার্ডে্র্	O y a r D e r
কন	কন্/কন	k o n k o n o
কর্ত্রি	কোর্্	k O r
কর্মসংস্থানমন্ত্রি	কর্মোশংস্থান্মোন্্	k o r m O sh o ng sh th a n m O n
কলম্বিয়াের	কলম্বিয়াের্	k o l o m b i y a r
কল্যানমন্ত্রি	কোল্লান্মোন্্	k O l l a n m O n
কাপুরুশ	কা্পুরুশ্	k a p u r u sh
কাপুরুশতা	কা্পুরুশতা	k a p u r u sh o t a
কাপুরুশের	কা্পুরুশের	k a p u r u sh e r o
কাপুরুশোচিত	কা্পুরুশোচিত	k a p u r u sh O ch i t o
কাপুরুশোচিতভাবে	কা্পুরুশোচিতভাবে	k a p u r u sh O ch i t o bh a b e
কাপুড়	কা্পুড়	k a p u r o
কাপুড়িয়া	কা্পুড়িয়া	k a p u r i y a
কাপেরই	কা্পের্ই	k a p e r i
কাপ্তাইয়ে	কা্প্তাইয়ে	k a p t a i y e
কাপ্তাইয়ের	কা্প্তাইয়ের্	k a p t a i y e r
কাবাগৃহ	কাবা্গ্রিহ	k a b a g r i h o
কাবিল	কা্বিল	k a b i l o
কাবুলিওয়ালা	কাবুলি্ওয়ালা	k a b u l i O y a l a
কাবেরি	কা্বেরি	k a b e r i
কাবোকে	কাবো্কে	k a b O k e
কামনাকে	কামনা্কে	k a m o n a k e
কামরাংগিরচরে	কাম্রাংগির‌্চরে	k a m r a ng g i r o ch o r e
কার্বারিপাড়ায়	কার্বারি্পাড়ায়	k a r b a r i p a r a y o
কার্যদক্ষতা	কা্র্জদক্খতা	k a r j o d o k kh o t a
কিয়ের	কিয়ের‌্	k i y e r o
কিয়েসওয়েটারের	কিয়ে্সওয়েটারের্	k i y e sh o O y e T a r e r
কুন্ডের	কু্ন্ডের্	k u n D e r
কুন্ডেশ্বরিতে	কুন্ডেশ্শরি্তে	k u n D e sh sh o r i t e
কুতুবুর	কুতুবু্র্	k u t u b u r
কুনখ	কুনখ্/কুনোখ্	k u n o kh k u n O kh
কুপ্রবৃত্তিগুলো	কু্রব্রিত্তিগুলো	k u r o b r i t t i g u l O
কুর্মিটোলার	কু্র্মিটোলার্	k u r m i T O l a r
কুর্মিটোলায়	কু্র্মিটোলায়	k u r m i T O l a y o
কুৎসামুলক	কু্ত্শামুলক্	k u t sh a m u l o k
কৃশিমন্ত্রি	কৃশিমোন্্	k ri sh i m O n
কোইখালি	কোইখা্লি	k O i kh a l i
কোংকন	কোংকোন্/–কন্	k O ng k O n k o n
কোনাক্রি	কোনা্	k O n a
ক্ষেমা	খেমা/খ্যামা	kh e m a kh A m a
ক্ষোদন	খোদন্/–দো–	kh O d o n d O
খান্ডব	খান্ডব্/–ডোব্	kh a n D o b D O b
খাদেমুল	খা্দেমুল্	kh a d e m u l
খাদ্যমন্ত্রি	খাদ্দোমোন্্	kh a d d O m O n
খামারুর	খামারু্	kh a m a r u
খালটিকে	খা্ল্টিকে	kh a l T i k e
খালেকুজ্জামানের	খালেকু্জ্জামানের্	kh a l e k u j j a m a n e r
খাসি	খাশি্	kh a sh i
খুরুশকুল	খুরু্কুল্	kh u r u k u l
খেকশিয়াল	খ্যাকশিয়াল্/খেক্–	kh A k o sh i y a l kh e k
খেদা	খেদা/খ্যা–	kh e d a kh A
খেলাঘরে	খেলাঘরে্	kh e l a gh o r e
গজানন	গজানন্/–নোন্	g o j a n o n n O n
গনঅভ্যুত্থান	গন্অভ্ভু্থ্থান্	g o n o bh bh u th th a n
গনঅভ্যুত্থানের	গন্অভ্ভু্থ্থানের্	g o n o bh bh u th th a n e r
গনবাহিনির	গনবাহি্নির্	g o n o b a h i n i r
গনতন্ত্রি	গনোতোন্্	g o n O t O n
গনপুর্তমন্ত্রি	গনোপুর্তোমোন্্	g o n O p u r t O m O n
গনপ্রজাতন্ত্রি	গনোপ্রোজাতোন্্	g o n O p r O j a t O n
গনশিক্ষামন্ত্রি	গনোশিক্খামোন্্	g o n O sh i k kh a m O n
গনাগোশ্ঠি	গোনাগোশ্ঠি/গনা–	g O n a g O sh Th i g o n a
গবেশনাকেন্দ্রের	গবেশনাকেন্দ্রের‌্	g o b e sh o n a k e n d r e r o
গবেশনামুলক	গবেশনা্মুলক্	g o b e sh o n a m u l o k
গর্ভকালিন	গর্ভকা্লিন্	g o r bh o k a l i n
গাইডসের	গাইড্সে্র্	g a i D sh e r
গুজবনির্ভর	গুজব্নির্ভর‌্	g u j o b n i r bh o r o
গুলিস্তানে	গুলিশ্তা্নে	g u l i sh t a n e
গুলিস্তানের	গুলিশ্তা্নের্	g u l i sh t a n e r
গৃহকর্ত্রি	গৃহোকোর্্	g ri h O k O r
গোংানির	গোংানির্	g O ng n i r
গোলাবর্ষনের	গোলাবর্শনের‌্	g O l a b o r sh o n e r o
গ্রান্ডস্ল্যাম	গ্রা্ন্ড্স্ল্যাম্	g r a n D sh l A m
গ্রেপ্তারেরও	গ্রেপ্তা্রের্ও	g r e p t a r e r O
গ্র্যান্ডমাস্টার্স	গ্র্যান্ড্মাস্টা্র্স্	g r A n D m a sh T a r sh
গ্ল্যাডিয়েটরসের	গ্ল্যাডিয়েটর্সে্র্	g l A D i y e T o r sh e r
ঘাড়ের	ঘাড়ে্	gh a r e
ঘৃনা	ঘৃ্না	gh ri n a
ঘৃনাভরে	ঘৃ্নাভরে	gh ri n a bh o r e
ঘৃন্য	ঘৃ্ন্ন	gh ri n n o
ঘৃন্যতম	ঘৃ্ন্নতম	gh ri n n o t o m o
ং	ং	
চক্রান্তকারি	চক্রান্তকা্রি	ch o k r a n t o k a r i
চক্রান্তকারিদের	চক্রান্তকা্রিদের্	ch o k r a n t o k a r i d e r
চক্রান্তকারিরা	চক্রান্তকা্রিরা	ch o k r a n t o k a r i r a
চমৎকারিত্ব	চমত্কারি্ত্ত	ch o m o t k a r i t t o
চরবাসির	চর‌্বশির্	ch o r o b o sh i r
চাকরিচু্্যতির	চাক্রিচু্তির্	ch a k r i ch u t i r
চুংা	চুংা	ch u ng
চুক্তিরও	চু্তির্ও	ch u t i r O
চুক্তিস্বাক্ষর	চু্ক্তিশাক্খর্	ch u k t i sh a k kh o r
চুম্বকিয়	চু্ম্বকিয়্	ch u m b o k i y
চোরডারে	চোর্ডারে্	ch O r D a r e
ছকড়া	ছকড়া/ছক্ড়া	chh o k o r a chh o k r a
ছাত্রছাত্রি	ছাত্রছা্ত্রি	chh a t r o chh a t r i
ছাত্রছাত্রিই	ছাত্রছা্ত্রিই	chh a t r o chh a t r i i
ছাত্রছাত্রিকে	ছাত্রছা্ত্রিকে	chh a t r o chh a t r i k e
ছাত্রছাত্রিদের	ছাত্রছা্ত্রিদের্	chh a t r o chh a t r i d e r
ছাত্রছাত্রিদেরও	ছাত্রছা্ত্রিদের্ও	chh a t r o chh a t r i d e r O
ছাত্রছাত্রির	ছাত্রছা্ত্রির্	chh a t r o chh a t r i r
ছাত্রছাত্রিরা	ছাত্রছা্ত্রিরা	chh a t r o chh a t r i r a
ছাত্রছাত্রিরাই	ছাত্রছা্ত্রিরাই	chh a t r o chh a t r i r a i
ছাত্রছাত্রিরাও	ছাত্রছা্ত্রিরাও	chh a t r o chh a t r i r a O
ছাত্রছাত্রিশহ	ছাত্রছা্ত্রিশহ	chh a t r o chh a t r i sh o h o
ছাত্রদলে	ছা্ত্রদলে	chh a t r o d o l e
ছাত্রিবৃন্দ	ছাত্রিবৃ্ন্দ	chh a t r i b ri n d o
ছাড়ের	ছাড়ে্	chh a r e
ছায়াছবির	ছায়াছবি্	chh a y a chh o b i
ছেব	ছেব্/সেব্	chh e b sh e b
জংগলের	জংগলের‌্	j o ng g o l e r o
জনপ্রশাসনমন্ত্রি	জনোপ্রোশাশোন্মোন্্	j o n O p r O sh a sh O n m O n
জনাকির্ন	জনাকির‌্ন	j o n a k i r o n o
জন্ত্রাংশগুলো	জন্ত্রাংশোগু্লো	j o n t r a ng sh O g u l O
জমাবেন	জমা্বেন্	j o m a b e n
জাফরুল্লাহ্	জাফ্রু্লাহ্	j a ph r u l a h
জাবিহুল্লাহ	জাবিহু্ল্লাহ্	j a b i h u l l a h
জাভিদের	জাভিদে্র	j a bh i d e r o
জাহাজজোগে	জাহাজ্জোগে	j a h a j j e g e
জিইডির	জিইডি্র	j i i D i r o
জিতুর	জিতু্র্	j i t u r
জিবনবৃত্তান্ত	জিবন্বৃ্ত্তান্ত	j i b o n b ri t t a n t o
জিবনবৃত্তান্তশহ	জীবন্বৃ্ত্তান্তশহ	j i b o n b ri t t a n t o sh o h o
জিবনবৃত্তান্তে	জিবন্বৃ্ত্তান্তে	j i b o n b ri t t a n t e
জু	জু্	j u
জোগাজোগমন্ত্রি	জোগাজোগ্মোন্্	j O g a j O g m O n
জোগের	্জোগের্	j O g e r
জোটবাহিনির	জোট্বাহি্নির্	j O T b a h i n i r
জোনাকি	জোনাকি্	j O n a k i
জ্বালানিমন্ত্রি	জালানিমোন্্	j a l a n i m O n
জ্যোতির্বিজ্ঞানিরা	জ্যোতির্বিগ্গ্যানিরা্	j j O t i r b i g g A n i r a
জ্যোৎস্নায়	জ্যোৎস্নায়্	j j O sh n a y
জড়াইনি	জড়াইনি্	j o r a i n i
টাংানো	টাংানো	T a ng n O
টাংানোর	টাংানোর্	T a ng n O r
টুটে	টুটে্	T u T e
ট্রাইবু্যনালে	ট্রাই্বু্যনালে	T r a i b u j o n a l e
ডলিকে	ডলিকে্	D o l i k e
ডায়রিয়ায়	ডায়্রিয়া্,	D a y r i y a
ডিগ্রিধারিকে	ডিগ্রিধারিকে্	D i g r i dh a r i k e
ডিভিআই	ডিভি্আই্	D i bh i a i
ডোমেইনে	ডোমেইনে্	D O m e i n e
তথ্যমন্ত্রি	তোত্থোমোন্্	t O t th O m O n
তদ্বৎ	তদ্বৎ	t o d b o
তির্থজাত্রির	তির্থোজাত্রি্র্	t i r th O j a t r i r
ত্রানমন্ত্রি	ত্রান্মোন্্	t r a n m O n
ত্রি	্	
ত্রোটক	ত্রোটক[ত্রোটোক্	t r O T o k o t r O T O k
দুশু্ব	দুষু্ব্	d u sh u b
দোলক	দোলোক্/–ল–	d O l O k l o
ধর্মমন্ত্রি	ধর্মোমোন্্	dh o r m O m O n
ধর্মাবলম্বি	ধর্মা্বলম্বি	dh o r m a b o l o m b i
ধর্মাবলম্বিদের	ধর্মা্বলম্বিদের্	dh o r m a b o l o m b i d e r
ধর্মাবলম্বির	ধর্মা্বলম্বির্	dh o r m a b o l o m b i r
ধর্মাবলম্বিরা	ধর্মা্বলম্বিরা	dh o r m a b o l o m b i r a
ধর্মাশ্রয়ি	ধর্মা্স্রয়ি	dh o r m a sh r o y i
নবোড়া	নবোড়া/–ড়া	n o b O r a r a
নাদাস্বরাম	নাদাশরাম,	n a d a sh o r a m o
না–দুরস্ত	নাদুরোস্তো/–ত্	n a d u r O sh t O t
নিগুড়	নিগুড়ো/ড়ো	n i g u r O r O
নিয়ামতি	নিয়ামতি্	n i y a m o t i
নৃ	্	
নেত	নেতো/নেত্	n e t O n e t
নোউপরিবহনমন্ত্রি	নোউ্পোরিবহোন্মোন্্	n O u p O r i b o h O n m O n
নোউমন্ত্রি	নোউ্মোন্্	n O u m O n
পরদার	পরোদার্/–র্	p o r O d a r r
পরপতি	পরোপতি/পর্–	p o r O p o t i p o r
পররাশ্ট্রমন্ত্রি	পরোরাশ্ট্রোমোন্্	p o r O r a sh T r O m O n
পরিকল্পনামন্ত্রি	পোরিকল্পোনামোন্্	p O r i k o l p O n a m O n
পরিবহনমন্ত্রি	পোরিবহোন্মোন্্	p O r i b o h O n m O n
পরিবেশমন্ত্রি	পোরিবেশ্মোন্্	p O r i b e sh m O n
পরোড়া	পরোড়া/–ড়া	p o r O r a r a
পরোয়ানার	পরোয়ানা্রা	p o r O y a n a r a
পর্যটনমন্ত্রি	পর্জোটন্মোন্্	p o r j O T o n m O n
পলতা	পল্তা/পোল–	p o l t a p O l o
পলল	পলল্/–লো–	p o l o l l O
পলিত	পোতিো	p O t i
পাকিল	পাকিল্/–ল	p a k i l l o
পাটমন্ত্রি	পাট্মোন্্	p a T m O n
পানিসম্পদমন্ত্রি	পানিশম্পোদ্মোন্্	p a n i sh o m p O d m O n
পামর	পামর্/–মোর্	p a m o r m O r
পাাসিং	পাাসিং	p a sh i ng
পুর্নমন্ত্রি	পুর্নোমোন্্	p u r n O m O n
পৃ	্	
প্রজাতন্ত্রি	প্রোজাতোন্্	p r O j a t O n
প্রজুক্তিমন্ত্রি	প্রোজুক্তিমোন্্	p r O j u k t i m O n
প্রতিমন্ত্রি	প্রোতিমোন্্	p r O t i m O n
প্রতিরক্ষামন্ত্রি	প্রোতিরক্খামোন্্	p r O t i r o k kh a m O n
প্রধানমন্ত্রি	প্রোধান্মোন্্	p r O dh a n m O n
প্রবাসিকল্যানমন্ত্রি	প্রোবাশিকোল্লান্মোন্্	p r O b a sh i k O l l a n m O n
প্রাংংগন	পাংগন্/–গোন্	p a ng g o n g O n
ফিউচার্সের	ফিউচার্সে্র্	ph i u ch a r sh e r
ফিজো	ফিজো্	ph i j O
ফিডা	ফিডা্	ph i D a
ফিডেলিটি	ফিডে্লিটি	ph i D e l i T i
ফিডেলিস	ফিডে্লিস্	ph i D e l i sh
ফিতাওয়ালা	ফিতা্ওয়ালা	ph i t a O y a l a
ফিদেলের	ফিদে্লের্	ph i d e l e r
ফিনিশিংয়ে	ফিনি্শিংয়ে	ph i n i sh i ng y e
ফিফটিটা	ফিফ্টিটা্	ph i ph T i T a
ফিফটিটি	ফিফ্টিটি্	ph i ph T i T i
ফিরিংগিবাজার	ফিরিংগি্বাজার্	ph i r i ng g i b a j a r
ফিরিয়েছে	ফিরি্য়েছে	ph i r i y e chh e
ফিলিপাইনেও	ফিলি্পাইনেও	ph i l i p a i n e O
ফিলিপিনোরা	ফিলিপিনোরা্	ph i l i p i n O r a
ফিসফিসানি	ফিশ্ফিশানি্	ph i sh ph i sh a n i
ফেরদোউসির	ফের্দোউসি্র্	ph e r d O u sh i r
বনমন্ত্রি	বন্মোন্্	b o n m O n
বাইচালি	মবা.	m o b a
বাউলসম্রাট	বাউল্,শম্রাট্	b a u l sh o m r a T
বানিজ্যমন্ত্রি	বানিজ্জোমোন্্	b a n i j j O m O n
বাহিনিগুলো	বাহিনিগুলো্	b a h i n i g u l O
বাহ্বাস্ফোট	বাওভাস্ফোটো/–ট্	b a O bh a sh ph O T O T
বাড়্যালরা	বাড়ে্ল্রা	b a r e l r a
বায়ুবিদ্যুৎ	বায়ুবিদ্যুৎ	b a y u b i d j u
বিকচ	বিকচ্/চো	b i k o ch ch O
বিচিন্তিত	বিচিন্তিো	b i ch i n t i
বিত্তি–বেসাত/বেসাইত	বিত্তি–বেশাত্/বেশাইত্	b i t t i b e sh a t b e sh a i t
বিথান	থিান্	th i n
বিদেশমন্ত্রি	বিদেশ্মোন্্	b i d e sh m O n
বিমানমন্ত্রি	বিমান্মোন্্	b i m a n m O n
বৃ	্	
ভাসাইলি	ভাশাাই্লি	bh a sh a i l i
ভুমিমন্ত্রি	ভুমিমোন্্	bh u m i m O n
ভেংেও	ভেংেও	bh e ng O
মনঃ	মনহ্(সন্ধিস্থলেরক্ষেত্রেপরপদেরপ্রথমবর্ণেরদ্বিত্বউচ্চারণ)	m o n o h sh o n dh i sh th o l e r o k sh e t r e p o r o p o d e r o p r o th o m o b o r n e r o d b i t b o u ch ch a r o n o
মন্ত্রি	মোন্্	m O n
মাছরাংার	মাছ্রাংার্	m a chh r a ng r
মাতৃ	মা্	m a
মাপেট	মাপেট্,	m a p e T
মিস্ত্রি	মিস্্	m i sh
মুখ্যমন্ত্রি	মুক্খোমোন্্	m u k kh O m O n
মুহুঃ	মুহু্	m u h u
মেকারুলের	মেকারু্লের্	m e k a r u l e r
মেগরাহি	মেগ্রাহি্	m e g r a h i
মেগরাহিকে	মেগ্রাহি্কে	m e g r a h i k e
মেগরাহির	মেগ্রাহি্র	m e g r a h i r o
মেগাওয়াট	মেগা্ওয়াট্	m e g a O y a T
মেগাওয়াটই	মেগা্ওয়াট্ই	m e g a O y a T i
মেগাওয়াটও	মেগা্ওয়াট্ও	m e g a O y a T O
মেগাওয়াটে	মেগা্ওয়াটে	m e g a O y a T e
মেগাওয়াটের	মেগা্ওয়াটের্	m e g a O y a T e r
মেগাওয়াটেরও	মেগা্ওয়াটের্ও	m e g a O y a T e r O
মেগাপিক্সেল	মেগা্পিক্সেল্	m e g a p i k sh e l
মেগাপিক্সেলের	মেগা্পিক্সেলের্	m e g a p i k sh e l e r
মেগাপোর্ট	মেগা্পোর্ট্	m e g a p O r T
মেগাসিটির	মেগা্সিটির্	m e g a sh i T i r
মেঘডুবি	মেঘ্ডুবি্	m e gh D u b i
মেঘনাঘাটে	মেঘনা্ঘাটে্	m e gh o n a gh a T e
মেঘমালাকে	মেঘ্মালা্কে	m e gh m a l a k e
মেচি	মেচি্	m e ch i
মেডিটেশন	মেডি্টেশন্	m e D i T e sh o n
মেথর	মেথোর্/ম্যা–	m e th O r m A
মেদিনিপুর	মেদিনি্পুর্	m e d i n i p u r
মেদিনিপুরে	মেদিনি্পুরে	m e d i n i p u r e
মেদিনিপুরের	মেদিনি্পুরের্	m e d i n i p u r e r
মেদিনিমন্ডল	মেদিনি্মন্ডল্	m e d i n i m o n D o l
মেধাকচ্চপিয়া	মেধাকচ্চপিয়া্	m e dh a k o ch ch o p i y a
মেধাবি	মেধাবি্	m e dh a b i
মেধাবিকে	মেধাবিকে্	m e dh a b i k e
মেনারিয়া	মেনারিয়া্	m e n a r i y a
মেরিনার্স	মেরি্নারস্	m e r i n a r o sh
মেরিনার্সের	মেরি্নারসের	m e r i n a r o sh e r o
মেলাংগনে	মেলাংগনে্	m e l a ng g o n e
মেলাপ্রাংগনে	মেলাপ্রাংগনে্	m e l a p r a ng g o n e
মোবারকবিরোধিরা	মোবারক্বিরোধিরা্	m O b a r o k b i r O dh i r a
মোবিডাটা	মোবিডাটা্	m O b i D a T a
মোবিডেটা	মোবিডেটা্	m O b i D e T a
মোড়কিকরনে	মোড়কিকরনে্	m O r o k i k o r o n e
মোউচাশিরা	মোউ্চাশিরা্	m O u ch a sh i r a
মোউলবাদবিরোধি	মোউ্লবাদ্বিরোধি্	m O u l o b a d b i r O dh i
মোউলবাদি	মোউ্লবাদি্	m O u l o b a d i
মোউলভিবাজারে	মোউ্লভিবাজারে্	m O u l o bh i b a j a r e
মোউসাবি	মোউ্শাবি্	m O u sh a b i
ম্যাংগালোরে	ম্যাংগালোরে্	m A ng g a l O r e
ম্যাংগালোরের	ম্যাংগালোরে্র্	m A ng g a l O r e r
ম্যানইউকে	ম্যান্ইউ্কে্	m A n i u k e
ম্যানসিটিকে	ম্যান্সিটিকে্	m A n sh i T i k e
ম্যান্ডেটরি	ম্যান্ডে্টরি	m A n D e T o r i
ম্যান্ডেটের	ম্যান্ডে্টর্	m A n D e T o r
ম্যা্নচেস্টার	ম্যা্নচেস্টার্	m A n o ch e sh T a r
জুদ্ধক্ষেত্রেই	জুদ্ধো্খেত্রেই্	j u d dh O kh e t r e i
রাংা	রাংা	r a ng
রাংামাটিতে	রাংামাটিতে	r a ng m a T i t e
রাংামাটির	রাংামাটির্	r a ng m a T i r
রাখছিলাম	রাখ্ছিলা্	r a kh chh i l a
রাজমিস্ত্রি	রাজ্মিস্্	r a j m i sh
রাসভ	রাোভ্	r a bh
রিকাের	রিকাের্	r i k a r
রেওয়া	র‍্যাওয়া	r o j a O y a
রেলপথমন্ত্রি	রেল্পথ্মোন্্	r e l p o th m O n
রেলমন্ত্রি	রেল্মোন্্	r e l m O n
র্যা	র‍্যা	r o j a
র্যাং	র‍্যাং	r o j a ng
র্যাংক	র‍্যাংক্	r o j a ng k
র্যাংকস	র‍্যাংক্স্	r o j a ng k sh
র্যাংকসটেল	র‍্যাাংক্স্টেল্	r o j a k sh T e l
র্যাংকসটেলের	র‍্যাংক্স্টেলের্	r o j a ng k sh T e l e r
র্যাংকিং	র‍্যাংকিং	r o j a ng k i ng
র্যাংকিংয়ে	র‍্যাংকিংয়ে	r o j a ng k i ng y e
র্যাংকিংয়ের	র‍্যাাংকিংয়ের্	r o j a k i ng y e r
র্যাংকিন	র‍্যাংকিন্	r o j a ng k i n
র্যাংগস	র‍্যাংগ্স্	r o j a ng g sh
র্যাক	র‍্যাাক্	r o j a k
র্যাগিংয়ের	র‍্যার্গিংয়ের্	r o j a r g i ng y e r
র্যাংকিং	র‍্যাংকিং	r o j a ng k i ng
র্যাংকিংয়ে	র‍্যাংকিংয়ে	r o j a ng k i ng y e
র্যাংকিংয়েও	র‍্যাংকিংয়েও	r o j a ng k i ng y e O
র্যাংকিংয়ের	র‍্যাংকিংয়ের্	r o j a ng k i ng y e r
র্যাডার	র‍্যাডার্	r o j a D a r
র্যাডিকেল	র‍্যাডিকেল্	r o j a D i k e l
র্যাডিক্যাল	র‍্যাডিক্যাল্	r o j a D i k A l
র্যাডিসনে	র‍্যাডিসনে	r o j a D i sh o n e
র্যাদার	র‍্যাদার্	r o j a d a r
র্যান্ড	র‍্যান্ড্	r o j a n D
র্যান্ডি	র‍্যাডি	r o j a D i
র্যাপ	র‍্যাপ্	r o j a p
র্যাপিড	র‍্যাপিড্	r o j a p i D
র্যাপের	র‍্যাপের্	r o j a p e r
র্যাফল	র‍্যাফল্	r o j a ph o l
র্যাফেল	র‍্যাাফেল্	r o j a ph e l
র্যাব	র‍্যাব্	r o j a b
র্যাবও	র‍্যাব্ও	r o j a b O
র্যাবসহ	র‍্যাব্শহ	r o j a b sh o h o
র্যাবে	র‍্যাবে	r o j a b e
র্যামোস	র‍্যামোস্	r o j a m O sh
র্যাম্পে	র‍্যাম্পে	r o j a m p e
র্যালফ	র‍্যাল্ফ্	r o j a l ph
র্যালি	র‍্যালি	r o j a l i
র্যালিতে	র‍্যালিতে	r o j a l i t e
র্যালির	র‍্যালির্	r o j a l i r
র‍্যাদা	র‍্যাদা	r o j a d a
র‍্যাপার	র‍্যাপার	r o j a p a r o
লউসনিয়া	লোউজ়োনিয়া	l O u j o n i y a
লিগারদের	লি্গার্দের্	l i g a r d e r
শশিকান্ত	শশোকিান্তো	sh o sh O k i n t O
শানি্ত	শানি্ত	sh a n i t o
শাসনসংক্রান্ত	শাশন্শংক্রা্ন্ত	sh a sh o n sh o ng k r a n t o
শাস্ত্রি	শাস্্	sh a sh
শুুক্রবার	শুুক্রবার্	sh u k r o b a r
শ্রমমন্ত্রি	স্রমোমোন্্	sh r o m O m O n
শ্রি	্	
শ্রিশ্রি	্সৃ	sh ri
শাটগুম্বজ/গম্বুজ	শাটগুম্বজ্/গ্রম্বুজ্মোশ্জিদ্	sh a T o g u m b o j g r o m b u j m O sh j i d
শোড়শ	শোড়োশো/–শ্	sh O r O sh O sh
সংঘটনকারিদের	শংঘটন্কা্রিদের্	sh o ng gh o T o n k a r i d e r
সংস্কারসংক্রান্ত	শংস্কার্শংক্রা্ন্ত	sh o ng sh k a r sh o ng k r a n t o
সক্রিয়ভাবে	শকৃোভাবে	sh o k ri bh a b e
সঞে	শএে	sh o e
সনদধারি	শনদ্ধা্রি	sh o n o d dh a r i
সনদধারিকে	শনদ্ধা্রিকে	sh o n o d dh a r i k e
সনদধারিরা	শনদ্ধা্রিরা	sh o n o d dh a r i r a
সন্দিপন	শন্দিপন।।	sh o n d i p o n o
সভানেত্রি	শভানে্ত্রি	sh o bh a n e t r i
সভানেত্রিও	শভানে্ত্রিও	sh o bh a n e t r i O
সভানেত্রির	শভানে্ত্রির্	sh o bh a n e t r i r
সমাজকল্যানমন্ত্রি	শমাজ্কল্লান্মোন্্	sh o m a j k o l l a n m O n
সমাজতন্ত্রি	শমাজ্তোন্্	sh o m a j t O n
সমাবেশেই	শমাবেশে্ই	sh o m a b e sh e i
সমুদ্রতিরে	শমুদ্রতি্রে	sh o m u d r o t i r e
সমুদ্রতিরের	শমুদ্রতি্রের্	sh o m u d r o t i r e r
সরকারমন্ত্রি	শর্কার্মোন্্	sh o r k a r m O n
সরবরাহকারি	শর্বরাহকা্রি	sh o r b o r a h o k a r i
সরবরাহকারিদের	শর্বরাহকা্রিদের্	sh o r b o r a h o k a r i d e r
সরবরাহকারির	শর্বরাহকা্রির্	sh o r b o r a h o k a r i r
সরবরাহকারিরা	শর্বরাহকা্রিরা	sh o r b o r a h o k a r i r a
সশস্ত্রবাহিনির	শশস্ত্রবাহি্নির্	sh o sh o sh t r o b a h i n i r
সাতারুদের	শাসাঁতারুদের্	sh a sh a t a r u d e r
সামিয়া	সামিয়া্	sh a m i y a
সার্জনরা	সা্জন্রা	sh a j o n r a
সিডরে	সিডরে্	sh i D o r e
