word	phoneme	tag
করদ	k o r O d	native
করন	k o r O n	native
করন্ড	k o r O n D	loanword
করন্ডক	k o r O n D o k	native
করপত্র	k o r O p o tr O	native
করব	k O r b O	native
করবছর	k o r b o chh o r	native
করবর্ষ	k o r b o r sh O	tatsama
করভ	k o r O bh O	native
করম	k o r o m	native
করমজল	k o r O m j o l	native
করমর্দন	k o r O m o r d O n	native
করর	k o r o r	native
করল	k O r l O	native
করস	k o r O sh	native
করসহ	k o r sh o h O	native
করহ	k o r o h o	native
কর্ক	k o r k	loanword
কর্কট	k o r k o T	native
কর্কশ	k o r k o sh	native
কর্জ	k o r j O	native
কর্ড	k o r D	loanword
কর্ডন	k o r D o n	loanword
কর্তন	k o r t O n	native
কর্তনসহ	k o r t o n sh o h O	native
কর্তব	k o r t o b	native
কর্তব্য	k o r t O b b O	native
কর্তব্যরত	k O r t O b b O r o t O	native
কর্দম	k o r d o m	native
কর্ন	k o r n O	native
কর্প	k o r p	loanword
কর্পর	k o r p o r	native
কর্পস	k o r p o s	loanword
কর্ম	k o r m O	native
কর্মক্ষম	k o r m O kkh o m	tatsama
কর্মচঞ্চল	k o r m O ch o nch o l	tatsama
কর্মজজ্ঞ	k o r m O j O g g O	tatsama
কর্মঠ	k o r m O Th O	native
কর্মত	k o r m O t o	native
কর্মতৎপর	k o r m O t o t p o r	native
কর্মদল	k o r m O d o l	native
কর্মফল	k o r m O ph o l	native
কর্মব্যস্ত	k o r m O b A st O	native
কর্মময়	k o r m O m o y o	native
কর্মরত	k o r m O r o t O	native
কর্মসম্পর্ক	k o r m O sh o mp o r k O	native
কর্মস্থল	k o r m O sth o l	native
কর্ম্ম	k o r m m O	native
কর্য	k o r j O	native
কর্ষ	k o r sh O	tatsama
কল	k o l	native
কলং	k o l O ng	native
কলংক	k o l o ng k O	native
কলংকজনক	k o l o ng k o j o n o k	native
কলংকময়	k o l o ng k o m o y	native
কলংকশ	k o l O ng k o sh	native
কলকল	k o l k o l	native
কলক্কল	k o l o k k o l	native
কলঘর	k o l gh o r	native
কলত্র	k o l O tr O	native
কলন	k o l O n	native
কলন্তর	k o l o nt o r	native
কলপ	k o l O p	native
কলব	k o l o b	native
কলবল	k o l b o l	native
কলভ	k o l o b O	native
কলম	k o l O m	native
কলমতর	k o l O m t o r O	native
কলমদর	k o l o m d o r	native
কলম্ব	k o l o mb O	proper_noun
কলরব	k o l O r o b	native
কলস	k o l O sh	native
কলহ	k o l O h O	native
কলহপ্রবন	k o l o h pr O b o n	native
কলহসহ	k o l o h sh o h O	native
কল্ক	k o l k O	native
কল্প	k o l p O	native
কল্পন	k o l p O n	native
কল্প্য	k O l p O	native
কল্মশ	k o l m o sh	native
কল্য	k O l l O	native
কল্যবর্ত	k O l l O b o r t O	native
কশ	k o sh	native
কশন	k o sh O n	native
কশফ	k o sh ph	native
কশ্ট	k o sh T O	native
কশ্টকর	k o sh T o k o r	native
কশ্যপ	k o sh sh O p	native
কষ	k o sh	tatsama
কষ্ট	k o shT O	tatsama
কষ্টকর	k o shT O k o r	tatsama
কস	k o s	loanword
কসম	k o s O m	loanword
কসমস	k o s m o s	loanword
কসরত	k o s r O t	native
কস্ট	k o s T	loanword
কস্ত	k o st O	native
কস্য	k O sh sh O	native
কহ	k o h O	native
কহতব্য	k o h O t O b b O	native
কহন	k o h O n O	native
কহর	k o h O r	native
ক্ত	t k O	native
ক্বন	k o n	native
ক্বনন	k O n o n	native
ক্রকচ	kr O k o ch	native
ক্রন্দন	kr O nd O n	native
ক্রন্দনরত	kr O nd o n r o t o	native
ক্রপ	kr O p	loanword
ক্রপস	kr O p s	loanword
ক্রফট	kr O ph T	native
ক্রব্য	kr O b b O	native
ক্রম	kr O m O	native
ক্রমশ	kr O m O sh O	native
ক্রস	kr O s	native
ক্রয়	kr o y	native
ক্রয়ডন	kr o y o D o n	native
ক্লক	kl o k	loanword
ক্লজ	kl o j	loanword
ক্লথ	kl o th	loanword
ক্লদ	kl o d	loanword
ক্লম	kl o m	native
ক্ষ	kh O	tatsama
ক্ষত	kh o t O	tatsama
ক্ষত্র	kh o tr O	tatsama
ক্ষত্রপ	kh o tr O p	tatsama
ক্ষন	kh o n	tatsama
ক্ষন্তব্য	kh O nt O b b O	tatsama
ক্ষপনক	kh o p O n o k	tatsama
ক্ষম	kh o m O	tatsama
ক্ষম্য	kh o m m O	tatsama
ক্ষর	kh o r	tatsama
ক্ষরণ	kh o r O n	tatsama
ক্ষরন	kh o r O n	tatsama
ক্ষয়	kh o y	tatsama
কড়	k o r	native
কড়ংকস্য	k o r o ng k O sh sh O	native
কড়ক	k o r o k	native
কড়কড়	k o r k o r	native
কড়ম্ব	k o r o mb O	native
কড়মড়	k o r m o r	native
কয়	k o y	native
কয়ছর	k o y o chh o r	native
কয়জন	k o y o j o n	native
ক–বর্গ	k o b o r g O	native
খ	kh o	native
খং	kh o ng	native
খংগ	kh o ng g O	native
খক	kh o k	native
খগ	kh o g	native
খচখচ	kh o ch kh o ch	native
খচর	kh o ch O r	native
খচ্চর	kh o ch ch O r	native
খজল	kh o j o l	native
খঞ্জ	kh o nj O	tatsama
খঞ্জন	kh o nj O n	tatsama
খঞ্জর	kh o nj O r	tatsama
খট	kh o T	native
খটমট	kh o T m o T	native
খটরমটর	kh o T o r m o T o r	native
খত	kh o t O	native
খতম	kh o t O m	native
খতর	kh o t O r	native
খদ	kh o d	native
খদ্দর	kh o d d o r	native
খন	kh o n	native
খনকজন্ত্র	kh o n o k j o n t r O	native
খনখন	kh o n kh o n	native
খনন	kh o n O n	native
খননজন্ত্র	kh o n O n j o nt r O	native
খননযন্ত্র	kh o n O n j o n t r O	native
খননশহ	kh o n o n sh o h o	native
খন্ড	kh o n D O	native
খন্ডন	kh o n D O n	native
খন্ডশ	kh o n D O sh O	native
খন্ড্য	kh o n D D O	native
খন্দ	kh o nd O	native
খন্দক	kh o nd o k	native
খপ	kh o p	native
খপ্পর	kh o p p O r	native
খবর	kh o b O r	native
খবরপত্র	kh o b o O p o tr O	native
খমক	kh o m O k	native
খমধ্য	kh o m O d dh O	native
খর	kh o r	native
খরচ	kh o r O ch	native
খরচসহ	kh o r O ch sh o h O	native
খরজ	kh o r O j	native
খরব	kh o r o b	native
খর্জন	kh o r j O n	native
খর্পর	kh o r p O r	native
খর্ব	kh o r b O	native
খল	kh o l	native
খলক	kh o l o k	native
খলখল	kh o l kh o l	native
খলট	kh o l O T	native
খলবল	kh o l b o l	native
খলল	kh o l o l	native
খল্ল	kh o l l O	native
খসখস	kh o sh kh o sh	native
খসত	kh o sh o t	native
খসম	kh o sh o m	native
খসল	kh o sh o l o	native
খসলত	k o sh l o t	native
খড়	kh o r	native
খড়ম	kh o r O m	native
খড়্গ	kh o r g O	native
খড়্গহস্ত	kh o r g h o st O	native
খয়র	kh o y o r	native
খ––	kh o	native
গ	g o	native
গং	g o ng	native
গগ	g o g	native
গগন	g o g O n	native
গগলস	g o g o l s	native
গঘ	g o gh	native
গজ	g o j	native
গজগজ	g o j g o j	native
গজব	g o j O b	native
গজর	g o j o r	native
গজল	g o j O l	native
গজস্কন্ধ	g o j O s k o ndh O	tatsama
গঞ্জ	g o nj	tatsama
গট	g o T	native
গটগট	g o T g o T	native
গঠন	g o Th O n	native
গঠনগত	g o Th O n g o t O	native
গঠনতন্ত্র	g o Th O n t o n t r O	native
গঠনসহ	g o Th O n sh o h O	native
গড	g o D	native
গডস	g o D s	proper_noun
গড়	g o r	native
গণধর্ষণ	g o n O dh o r sh O n	tatsama
গণ্য	g O n n O	tatsama
গত	g o t O	native
গতবছর	g o t O b o chh O r	native
গতর	g o t O r	native
গত্যন্তর	g O t t a nt o r	native
গদ	g o d	native
গদগদ	g o d O g o d O	native
গদ্গদ	g o d g o d	native
গদ্য	g O d d O	native
গন	g o n O	native
গনক	g o n O k	native
গনকক্ষ	g o n O k o kkh O	tatsama
গনকন্ঠ	g o n O k o n Th O	native
গনকবর	g o n O k o b o r	native
গনগন	g o n g o n	native
গনতদন্ত	g o n O t o d o nt O	native
গনতন্ত্র	g o n O t o nt r O	native
গনধর্ষন	g o n O dh o r sh o n	native
গনফ্রন্ট	g o n O ph r O n T	loanword
গনভবন	g o n O bh o b O n	native
গন্ড	g o n D O	native
গন্ডক	g o n D O k	native
গন্তব্য	g O nt O b b O	native
গন্তব্যস্থল	g O nt o b b o sth o l	native
গন্দম	g o nd O m	native
গন্ধ	g o ndh O	tatsama
গন্ধক	g o ndh O k	tatsama
গন্ধর্ব	g o ndh o r b O	tatsama
গন্য	g o n n O	native
গপ	g o p	native
গপ্প	g o p p O	native
গবচন্দ্র	g o b ch o ndr O	native
গবর্নর	g o b O r n o r	native
গব্য	g O b b O	native
গবয়	g o b o y	native
গভ	g o bh	native
গভঃ	g o bh o	tatsama
গভর্নর	g o bh O r n o r	native
গভর্নরশহ	g o bh o r n o r sh o h o	loanword
গম	g o m	native
গমক	g o m o k	native
গমগম	g o m g o m	native
গমন	g o m O n	native
গমশহ	g o m sh o h o	native
গম্য	g O m m O	native
গর	g o r	native
গরংগল	g o r o ng g o l	native
গরগর	g o r g o r	native
গরজ	g o r O j	native
গরজন	g o r o j O n	native
গরদ	g o r O d	native
গরপছন্দ	g o r o p o chh o nd O	native
গরব	g o r b o	native
গরম	g o r O m	loanword_nativized
গরল	g o r O l	native
গরস	g o r O sh	native
গর্গর	g o r g o r	native
গর্জক	g o r j o k	native
গর্জন	g o r j O n	native
গর্ডন	g o r D O n	proper_noun
গর্ত	g o r t O	native
গর্দ	g o r d O	native
গর্দভ	g o r dh O b	native
গর্ব	g o r b O	native
গর্ভ	g o r bh O	native
গর্ভনর	g o r bh o n o r	native
গর্ভস্থ	g o r bh O sth O	native
গল	g o l	native
গলকম্বল	g o l o k o mb o l	native
গলগন্ড	g o l O g o n D O	native
গলগল	g o l g o l	native
গলগ্রহ	g o l gr O h o	native
গলত	g o l o t	native
গলদ	g o l O d	native
গলদঘর্ম	g o l O d O gh o r m O	native
গলদ্ঘর্ম	g o l O d gh o r m O	native
গলধঃকরন	g o l O dh O k o r O n	tatsama
গলন	g o l O n	native
গলফ	g o l ph	native
গলল	g o l o l	native
গল্প	g o l p O	native
গল্পগ্রন্থ	g o l p O gr O n th O	native
গল্পর	g o l p O r	native
গল্ফ	g o l ph	loanword
গলৎ	g o l o t	native
গশগশ	g o sh g o sh	native
গস্ত	g o st O	native
গহন	g o h O n	native
গহর	g o h O r	native
গহ্বর	g o h O b b o r	native
গ্রন্থ	gr O n th O	native
গ্রন্থন	gr O n th o n	native
গ্রস	gr O s	loanword
গ্রসন	gr O sh O n	native
গ্রহ	gr O h O	native
গ্রহণ	gr O h O n	tatsama
গ্রহন	gr O h O n	native
গ্রহনশহ	gr O h o n sh o h o	native
গ্লস	g l o s	loanword
গ্স	g s O	native
গৎ	g o t	native
গড়	g o r	native
গড়গড়	g o r g o r	native
গড়ন	g o r O n o	native
গড়ব	g o r b o	native
গড়বড়	g o r b o r	native
গড়ল	g o r l o	native
গয়ংগচ্ছ	g o y O ng g o ch chh O	native
গয়র	g o y o r	native
গয়রত	g o y r o t	native
গয়রহ	g o y r o h	native
ঘ	gh o	native
ঘচ	gh o ch	native
ঘট	gh o T	native
ঘটক	gh o T O k	native
ঘটকচর	gh o T o k ch o r	native
ঘটত	gh O T t O	native
ঘটন	gh o T O n	native
ঘটপট	gh o T p o T	native
ঘটরমটর	gh o T O r o m o T O r o	native
ঘটল	gh O T l O	native
ঘট্ট	gh o T T O	native
ঘট্টন	gh o T T O n	native
ঘন	gh o n O	native
ঘনঘন	gh o n O gh o n O	native
ঘনত্ব	gh o n O tt O	tatsama
ঘনবদ্ধ	gh o n o b o d dh O	tatsama
ঘন্ট	gh o n T O	native
ঘর	gh o r	native
ঘরট্ট	gh o r o T T O	native
ঘরময়	gh o r m o y	native
ঘরশহ	gh o r sh o h o	native
ঘর্ঘর	gh o r gh o r	native
ঘর্ম	gh o r m O	native
ঘর্ম্য	gh o r m O	native
ঘর্ষক	gh o r sh O k	tatsama
ঘর্ষণ	gh o r sh O n	tatsama
ঘর্ষন	gh o r sh O n	tatsama
ঘড়	gh o r	native
ঘড়ঘড়	gh o r gh o r	native
চ	ch o	native
চং	ch o ng	native
চংক্রমন	ch o ng kr O m o n	native
চক	ch o k	loanword
চকচক	ch o k ch o k	native
চকমক	ch o k m o k	native
চক্কর	ch o k k O r	native
চক্র	ch o kr O	native
চক্ষ	ch O kkh O	tatsama
চচ্চর	ch o ch ch o r	native
চচ্চড়	ch o ch ch o r	native
চঞ্চর	ch o nch o r	tatsama
চঞ্চল	ch o nch o l	tatsama
চট	ch o T	native
চটক	ch o T O k	native
চটপট	ch o T p o T	native
চট্	ch o T	native
চট্ট	ch o T T O	native
চট–চট	ch o T ch o T	native
চত্বর	ch o tt O r	tatsama
চত্বরশহ	ch o tt o r sh o h o	tatsama
চনক	ch o n O k	native
চনচন	ch o n ch o n	native
চনমন	ch o n m o n	native
চন্ড	ch o n D O	native
চন্দ	ch o nd O	native
চন্দক	ch o nd O k	native
চন্দন	ch o nd O n	native
চন্দননগর	ch o nd O n n o g O r	native
চন্দরপল	ch o nd O r p o l	native
চন্দ্র	ch o ndr O	native
চন্দ্রক	ch o ndr O k	native
চন্দ্রগঞ্জ	ch o ndr O g o nj	tatsama
চন্দ্রগ্রহন	ch o ndr O gr O h o n	native
চন্দ্রশহ	ch o ndr O sh o h o	native
চন্নন	ch o nn o n	native
চপ	ch o p	native
চপল	ch o p O l	native
চপ্পল	ch o p p O l	native
চবন	ch o b o n	native
চম	ch o m	native
চমক	ch o m O k	native
চমকপ্রদ	ch o m O k pr O d O	native
চমচম	ch o m ch o m	native
চমন	ch o m O n	native
চমর	ch o m O r	native
চমস	ch o m O sh	native
চম্পক	ch o mp o k	native
চম্পট	ch o mp o T	native
চমৎ	ch o m o t	native
চমৎকরন	ch o m O t k o r O n	native
চর	ch o r	native
চরক	ch o r O k	native
চরন	ch o r O n	native
চরব	ch o r O b	native
চরম	ch o r O m	native
চরমতম	ch o r O m t o m O	native
চরমপত্র	ch o r o m p o tr O	native
চরস	ch o r O sh	native
চরসংলগ্ন	ch o r sh o ng l o g n O	native
চর্পট	ch o r p o T	native
চর্ব	ch o r b O	native
চর্বন	ch o r b O n	native
চর্ব্য	ch o r b b O	native
চর্ভট	ch o r bh O T	native
চর্ম	ch o r m O	native
চর্য	ch o r j O	native
চল	ch o l	native
চলক	ch o l O k	native
চলত	ch O l t O	native
চলদল	ch o l d o l	native
চলন	ch o l O n	native
চলন্ত	ch o l O nt O	native
চলব	ch O l b O	native
চলল	ch O l l O	native
চল্	ch o l	native
চলৎ	ch o l O t	native
চশক	ch o sh O k	native
চশম	ch o sh O m	native
চহট	ch o h O T	native
চ্যবন	ch A b O n	native
চড়	ch o r	native
চড়ক	ch o r O k	native
চড়ন	ch o r O n	native
চড়বড়	ch o r b o r	native
চয়	ch o y	native
চয়ন	ch o y O n	native
ছ	chh o	native
ছংগ	chh o ng g O	native
ছক	chh o k	native
ছকরবন	chh o k o r b o n	native
ছক্কড়	chh o k k o r	native
ছট	chh o T	native
ছটফট	chh o T ph o T	native
ছতর	chh o t O r	native
ছত্তর	chh o tt o r	native
ছত্র	chh o tr O	native
ছত্রধর	chh o tr O dh o r	native
ছত্রভংগ	chh o tr O bh o ng g o	native
ছদ	chh o d	native
ছদ্ম	chh o d d O	tatsama
ছন	chh o n	native
ছনছন	chh o n chh o n	native
ছনমন	chh o n m o n	native
ছন্দ	chh o nd O	native
ছন্দপতন	chh o nd O p o t O n	native
ছন্দবন্ধ	chh o nd O b o ndh O	tatsama
ছন্দময়	chh o nd o m o y	native
ছন্ন	chh o nn O	native
ছপছপ	chh o p chh o p	native
ছফ	chh o ph	native
ছবর	chh o b o r	native
ছমছম	chh o m chh o m	native
ছয়	chh o y	native
ছল	chh o l	native
ছলচ্ছল	chh o l O chh chh o l	native
ছলছল	chh o l O chh o l O	native
ছড়	chh o r	native
ছয়	chh o y o	native
ছয়জন	chh o y j o n	native
ছয়জনশহন	chh o y j o n sh o h o	native
ছয়শ	chh o y sh o	native
জ	j o	native
জং	j o ng	native
জংগ	j o ng g	native
জংগম	j o ng g O m	native
জংগল	j o ng g o l	native
জংগলমহল	j o ng g o l m o h o l	native
জংঘ	j o ng gh O	native
জংশন	j o ng sh O n	native
জংসং	j o ng sh o ng	native
জক্ষ	j O kkh O	tatsama
জখন	j o kh O n	native
জখম	j o kh o m	native
জগ	j o g	native
জগজগ	j o g O j o g O	native
জগজ্জন	j o g O j j o n	native
জগঝম্প	j o g O jh o mp O	native
জগত	j o g O t	native
জগত্	j o g O t	native
জগদল	j o g d o l	native
জগদ্দল	j o g O d d o l	native
জগবন্ধ	j o g b o ndh O	tatsama
জগমন্ডল	j o g o m o n D o l	native
জগ্ধ	j o g dh O	native
জগৎ	j o g O t	native
জঘন	j o gh o n	native
জঘন্য	j o gh O n n O	native
জঘন্যতম	j o gh O n n O t o m O	native
জজ	j o j	native
জজন	j o j O n	native
জজশহ	j o j sh o h o	native
জজ্ঞ	j o g g O	tatsama
জট	j o T	native
জঠর	j o Th O r	native
জড়জন্ত্র	j o r o j o nt r O	native
জত	j o t O	native
জতক্ষন	j o t O kkh O n	tatsama
জতজন	j o t O j o n	native
জতন	j o t O n	native
জতসংখ্যক	j o t O sh o ng kh o k	native
জত্ত	j o tt O	native
জত্ন	j o t n O	native
জত্র	j o tr O	native
জত্রতত্র	j o tr O t o tr O	native
জন	j O n	native
জনক	j o n O k	native
জনকন্ঠ	j o n O k o n Th O	native
জনকন্ঠর	j o n o k o n Th o r	native
জনগন	j o n O g o n	native
জনগনমন	j o n O g o n O m O n	native
জনগনশহ	j o n o g o n sh o h o	native
জনঘনত্ব	j o n o gh o n o tt O	tatsama
জনজট	j o n j o T	native
জনন	j o n O n	native
জনপথ	j o n O p o th	native
জনপদ	j o n O p o d	native
জনবল	j o n O b o l	native
জনবলশহ	j o n o b o l sh o h o	native
জনবলসংকট	j o n o b o l sh o ng k o T	native
জনম	j o n O m	native
জনমত	j o n O m o t	native
জনস	j o n s	proper_noun
জনসন	j o n s o n	proper_noun
জনসমর্থন	j o n O sh o m O r th O n	native
জনসম্পদ	j o n O sh o mp o d	native
জনসহ	j o n sh o h O	native
জনস্টন	j o n s T o n	proper_noun
জন্তর	j o nt o r	native
জন্ত্র	j o n t r O	native
জন্ত্রক	j o nt r O k	native
জন্ত্রন	j o nt r O n	native
জন্ত্রসহ	j o nt r O sh o h O	native
জন্ম	j o n m O	native
জন্মগত	j o n m O g o t O	native
জন্মগ্রহন	j o n m O gr O h O n	native
জন্মবর্ষ	j o n m o b o r sh O	tatsama
জন্মরহস্য	j o n m o r o h o sh sh O	native
জন্মলগ্ন	j o n m o l o g n O	native
জন্মশত	j o n m o sh o t o	native
জন্মশতবর্ষ	j o n m O sh o t O b o r sh O	tatsama
জন্মশহর	j o n m O sh o h O r	native
জন্মসনদ	j o n m O sh o n O d	native
জন্য	j O n n O	native
জন্স	j o n s	loanword
জপ	j o p	native
জব	j o b	native
জবজব	j o b j o b	native
জবন	j o b O n	native
জবর	j o b O r	native
জবরজং	j o b O r j o ng	native
জবরদখল	j o b O r d o kh O l	native
জবরদস্ত	j o b o r d o st O	native
জবস	j o b s	proper_noun
জবহ্	j o b o h	native
জব্দ	j o b d O	native
জব্ধ	j o b d O	native
জম	j o m	native
জমক	j o m O k	native
জমজ	j o m O j	native
জমজম	j o m j o m	loanword
জমত	j o m o t o	native
জমল	j O m l O	native
জয়	j o y	native
জর	j o r	native
জরজর	j o r j o r	native
জরদ	j o r O d	native
জরদ্গব	j o r O d g o b	native
জর্জ	j o r j	proper_noun
জর্জর	j o r j o r	native
জর্ডন	j o r D o n	proper_noun
জর্মন	j o r m o n	native
জল	j o l	native
জলচর	j o l O ch o r	native
জলছত্র	j o l chh o tr O	native
জলজ	j o l O j O	native
জলজট	j o l O j o T	native
জলতরংগ	j o l t o r o ng g o	native
জলদ	j o l O d	native
জলধর	j o l O dh o r	native
জলনর	j o l O n o r	native
জলন্ত	j o l O nt O	native
জলপথ	j o l p o th	native
জলবসন্ত	j o l b o sh O nt O	native
জলমগ্ন	j o l m o g n O	native
জলরং	j o l r o ng	native
জল্প	j o l p O	native
জল্পক	j o l p o k	native
জশ	j o sh	native
জশদ	j o sh O d	native
জশবন্ত	j o sh b O nt O	native
জশম	j o sh o m	native
জস	j O sh	native
জসদ	j o sh O d	native
জসম	j o sh o m	native
জহন	j o h O n	native
জহমত	j o h O m o t	native
জহর	j o h O r	native
জহরত	j O h O r o t	native
জহরব্রত	j o h O r br O t O	native
জ্বর	j o r	native
জৎ	j o t	native
ঝটপট	jh o T p o T	native
ঝড়	jh o r	native
ঝমঝম	jh o m jh o m	native
ঝরঝর	jh O r O jh o r O	native
টব	T o b	loanword_nativized
টম	T o m	proper_noun
ট্রট	T r O T	loanword
টয়	T o y	loanword
ট–বর্গ	T o b o r g O	native
ঠ	Th o	native
ঠং	Th o ng	native
ঠক	Th o k	native
ঠকঠক	Th o k Th o k	native
ঠক্কর	Th o k k o r	native
ঠগ	Th o g	native
ঠন	Th o n	native
ঠমক	Th o m O k	native
ঠসক	Th o sh O k	native
ড	D o	native
ডং	D o ng	native
ডংক	D o ng k O	native
ডঃ	D o k T o r	tatsama
ডক	D o k	native
ডক্টর	D o k T O r	loanword
ডক্টরস	D o k T O r s	loanword
ডগ	D o g	native
ডগডগ	D o g D o g	native
ডগমগ	D o g m o g	native
ডগর	D o g o r	native
ডজন	D o j O n	loanword
ডট	D o T	loanword
ডটকম	D o T k o m	loanword
ডড	D o D	native
ডডনং	D o D o n o ng	native
ডন	D o n	native
ডন্ড	D o n D O	native
ডবল	D o b O l	native
ডমর	D o m o r	native
ডম্পক	D o mp o k	native
ডম্ফ	D o m ph O	native
ডর	D o r	native
ডল	D o l	native
ডলক	D o l O k	native
ডলন	D o l O n	native
ডলস	D o l s	loanword
ডল্লক	D o l l o k	native
ডস	D o s	loanword
ডহর	D o h O r	native
ড়	r o	native
ড্র	D r O	native
ড্রপ	D r O p	loanword
ড্রপড	D r O p D	loanword
ড্রপবক্স	D r O p b o k s	loanword
ড্রর	D r O r	loanword
ডয়ন	D o y O n	native
ঢ	Dh o	native
ঢং	Dh o ng	native
ঢক	Dh o k	native
ঢক্ক	Dh o k k O	native
ঢপ	Dh o p	native
ঢরঢর	Dh o r o Dh o r o	native
ঢল	Dh o l	native
ঢলক	Dh o l O k	native
ঢলঢল	Dh o l O Dh o l O	native
ঢলন	Dh o l O n	native
ঢল্ক	Dh o l k O	native
ঢসন	Dh o sh O n	native
ঢ়	r o	native
ণত্ব	n o tt O	tatsama
ত	t o	native
তং	t o ng	native
তক	t o k	native
তকতক	t o k t o k	native
তক্ত	t o kt O	native
তক্র	t o kr O	native
তক্ষক	t o kkh O k	tatsama
তখন	t o kh O n	native
তগর	t o g o r	native
তছনছ	t o chh n o chh	native
তজ্জন্য	t o j j O n n O	native
তঞ্চ	t o nch O	tatsama
তঞ্চক	t o nch o k	tatsama
তট	t o T	native
তটস্থ	t o T O sth O	native
তত	t o t O	native
ততঃ	t o t O h	tatsama
ততক্ষন	t o t O kkh O n	tatsama
তত্ত্ব	t o t t O	tatsama
তত্ত্বগত	t o t t O g o t O	tatsama
তত্পর	t o t p o r	native
তত্ব	t o tt O	tatsama
তত্র	t o tr O	native
তত্সংলগ্ন	t o t sh o ng l o g n O	native
তত্সম	t o t sh o m O	native
তত্সহ	t o t sh o h O	native
তথ্য	t O t th O	native
তথ্যগত	t O t th o g O t O	native
তথ্যছক	t o t th o chh o k	native
তথ্যসংগ্রহ	t o t th O sh o ng gr O h o	native
তথ্যসহ	t o t th O sh o h O	native
তদনন্তর	t o d o n o nt o r	native
তদন্ত	t o d O nt O	native
তদন্তসহ	t o d o nt o sh o h O	native
তদন্য	t o d O n n O	native
তদবস্থ	t o d O b o sth O	native
