word	phoneme	tag
অত্যুশ্ন	O t t u sh n O	native
অত্যুৎকৃশ্ট	O t t u t k ri sh T O	tatsama
অত্র	o tr O	native
অত্রস্ত	o tr O st O	native
অত্রস্থ	o tr O sth O	native
অথর্ব	o th o r b O	native
অদক্ষ	o d o kkh O	tatsama
অদত্ত	o d o tt O	native
অদন্ত	o d o nt O	native
অদম্য	o d o m m O	native
অদাহ্য	o d a j jh O	native
অদিব্য	O d i b b O	native
অদৃশ্ট	o d ri sh T O	tatsama
অদৃশ্টপুর্ব	o d r i sh T o p u r b o	tatsama
অদৃশ্য	o d ri sh sh O	tatsama
অদৃষ্ট	o d r i sh T O	tatsama
অদ্য	o d d O	native
অধইর্য	o dh O i r j O	native
অধন্য	o dh o n n O	native
অধমর্ন	o dh O m o r n O	native
অধর্ম	o dh o r m O	native
অধিকারসংক্রান্ত	O dh i k a r sh O ng kr a nt O	compound
অধিক্ষেত্র	O dh i kh e tr O	tatsama
অধিগম্য	O dh i g o m m O	native
অধিনস্ত	O dh i n o st O	native
অধিনস্থ	O dh i n o sth O	native
অধিনায়কত্ব	O dh i n a y o k o tt o	tatsama
অধিবর্ষ	O dh i b o r sh O	tatsama
অধিবিদ্যাসংক্রান্ত	O dh i b i d d a sh O ng kr a nt O	compound
অধিবৃত্ত	O dh i b ri tt O	tatsama
অধিবেশনকক্ষ	O dh i b e sh o n k o kkh o	tatsama
অধিভুক্ত	O dh i bh u kt O	native
অধীনস্থ	O dh i n o sth O	native
অধুনালুপ্ত	O dh u n a l u p t O	native
অধৃশ্ট	o dh r i sh T O	tatsama
অধৃশ্য	o dh r i sh sh O	tatsama
অধোইর্য	o dh O i r j O	native
অধ্য	o d dh O	native
অধ্যক্ষ	o d dh O k kh O	tatsama
অধ্যাত্ম	O d dh a t t O	native
অধ্যেতব্য	o d dh e t o b b O	native
অনইক্য	o n O i k k O	native
অনকোলজিস্ট	o n k O l o j i sh T	loanword
অনক্ত	o n o kt O	native
অনগ্ন	o n o g n O	native
অনচ্ছ	o n o ch chh O	native
অনতিক্রম্য	o n O t i kr O m m o	native
অনধিগম্য	o n O dh i g o m m O	native
অননুভুতপুর্ব	o n O n u bh u t O p u r b O	native
অনন্ত	o n o nt O	native
অনন্য	o n o n n O	native
অনপত্য	o n O p O t t O	native
অনপেক্ষ	o n O p e kkh O	tatsama
অনবচ্ছিন্ন	o n O b O ch chh i nn O	native
অনবদ্য	o n O b o d d O	native
অনবরুদ্ধ	o n O b o r u d dh O	tatsama
অনবায়নজোগ্য	o n O b a y o n j O g g o	native
অনভিজ্ঞ	o n O bh i g g O	tatsama
অনভিব্যক্ত	o n O bh i b A kt O	native
অনভ্যস্ত	o n O bh o st O	native
অনর্ঘ	o n o r gh O	native
অনর্থ	o n O r th O	native
অনল্প	o n o l p O	native
অনস্বিকার্য	o n o sh i k a r j O	tatsama
অনাক্রান্ত	o n a kr a nt O	native
অনাচ্ছন্ন	o n a ch chh o nn O	native
অনাঢ্য	o n a D Dh O	native
অনাত্ম	o n a t t O	native
অনাদ্য	o n a d d O	native
অনাদ্যন্ত	o n a d d o nt O	native
অনান্য	o n a n n O	native
অনাপত্তিপত্র	o n a p O tt i p o tr O	native
অনাবশ্য	o n a b o sh sh O	native
অনাবিদ্ধ	o n a b i d dh O	tatsama
অনাবিশ্কার্য	o n a b i sh k a r j O	native
অনাবিশ্ট	o n a b i sh T O	native
অনারোগ্য	o n a r O g g O	native
অনার্য	o n a r j O	native
অনার্য্য	o n a r j O	native
অনার্স	o n a r sh	native
অনালম্ব	o n a l o mb O	native
অনাসক্ত	o n a sh o kt O	native
অনাড়শ্ট	o n a r o sh T O	native
অনায়ত্ত	o n a y o tt O	native
অনিত্য	O n i t t O	native
অনিদ্র	O n i d r O	native
অনিন্দ্য	o n i nd O	native
অনিবদ্ধ	O n i b o d dh O	tatsama
অনিবার্য	O n i b a r j O	native
অনিমিত্ত	O n i m i tt O	native
অনিরাময়জোগ্য	o n i r a m o y j O g g o	native
অনিরুদ্ধ	O n i r u d dh O	tatsama
অনির্দিশ্ট	o n i r d i sh T O	native
অনিশ্ট	o n i sh T o	native
অনিশ্ঠ	O n i sh Th O	native
অনিশ্পন্ন	o n i sh p o nn O	native
অনিষ্পন্ন	o n i sh p o nn O	tatsama
অনুকল্প	O n u k o l p O	native
অনুক্ত	O n u kt O	native
অনুগ্র	O n u g gr O	native
অনুচ্চ	o n u ch ch O	native
অনুজু্ক্ত	O n u j u kt O	native
অনুতপ্ত	O n u t o p t O	native
অনুত্তির্ন	o n u tt i r n O	native
অনুত্তির্য	O n u tt i r o j O	native
অনুদাত্ত	O n u d a tt O	native
অনুদ্দিশ্ট	O n u d d i sh T O	native
অনুদ্ভিন্ন	O n u d bh i nn O	native
অনুধাবনজোগ্য	O n u b a dh o n j O g g o	native
অনুপজুক্ত	o n u p O j u kt O	native
অনুপদিশ্ট	O n u p O d i sh T O	native
অনুপুর্ব	O n u p u r b O	native
অনুপ্ত	O n u p t O	native
অনুপ্রস্থ	O n u pr O sh t O	native
অনুবন্ধ	O n u b o ndh O	tatsama
অনুবাদগ্রন্থ	O n u b a d gr O n th o	native
অনুবিদ্ধ	O n u b i d dh O	tatsama
অনুমতিপত্র	O n u m O t i p o tr O	native
অনুমতিপ্রাপ্ত	O n u m o t i pr a p t o	compound
অনুমোদনজোগ্য	O n u m O d o n j O g g o	native
অনুমোদনপত্র	O n u m O d o n p o tr O	native
অনুমোদনপ্রাপ্ত	O n u m O d o n o pr a p t o	compound
অনুমোদনসংক্রান্ত	O n u m O d o n sh o ng kr a nt o	compound
অনুরক্ত	O n u r o kt O	native
অনুরুদ্ধ	O n u r u d dh O	tatsama
অনুরোধপত্র	O n u r O dh p O tr O	native
অনুর্ধ	O n u r dh O	native
অনুর্ধ্ব	o n u r dh O	tatsama
অনুলম্ব	O n u l o mb O	native
অনুলিপ্ত	O n u l i p t O	native
অনুল্লেখ্য	O n u l l e kh kh o	native
অনুশং্গ	O n u sh O ng g o	native
অনুশদভুক্ত	O n u sh o d bh u kt o	native
অনুশিশ্য	O n u sh i sh sh O	native
অনুশ্ঠিতব্য	O n u sh Th i t o b b O	native
অনুশ্ন	O n u sh n O	native
অনুষঙ্গ	O n u sh o ngg O	tatsama
অনুষ্ঠিতব্য	O n u shTh i t o b b O	tatsama
অনুসরনজোগ্য	O n u sh o r o n j O g g o	native
অনুসর্গ	o n u sh o r g O	native
অনুসিদ্ধান্ত	O n u sh i d dh a nt O	tatsama
অনুসুর্য	O n u sh u r j O	native
অনুৎকর্ষ	O n u t k o r sh O	tatsama
অনেকান্ত	o n e k a nt O	native
অনেস্ট	o n e sh T	loanword
অনোইক্য	o n O i k k O	native
অনোইপুন্য	o n O i p u n n O	native
অনোউচিত্য	o n O u ch i t t O	native
অনোউদার্য	o n O u d a r j O	native
অন্ড	o n D O	native
অন্ত	o nt O	native
অন্তঃকর্ন	o nt O k o r n O	tatsama
অন্তঃসারশুন্য	o nt O sh a r sh u n n O	tatsama
অন্তঃস্থ	o n t O sth O	tatsama
অন্তরিক্ষ	o nt O r i kkh O	tatsama
অন্তর্দ্বন্দ্ব	o nt O r d o nd O	compound
অন্তর্বানিজ্য	o nt O r b a n i j j O	compound
অন্তর্বাশ্প	o nt O r b a sh p O	native
অন্তর্ভুক্ত	o nt O r bh u kt O	native
অন্তর্মাধুর্য	o nt O r m a dh u r j O	compound
অন্তস্থ	o nt o sth O	native
অন্ত্য	o nt O	native
অন্ত্র	o n t r O	native
অন্ধ	o ndh O	tatsama
অন্ধকারাচ্ছন্ন	o ndh O k a r a ch chh o nn O	compound
অন্ধত্ব	o ndh O tt O	tatsama
অন্ধ্র	o n dh r O	tatsama
অন্ন	O nn O	native
অন্বর্থ	o n n o r th O	native
অন্বিশ্ট	O n n i sh T O	native
অন্য	O n n O	native
অন্যত্র	o n n o tr O	native
অন্যন্য	o n n o n n O	native
অন্যপক্ষ	o n n O p o kkh O	tatsama
অন্যমনস্ক	o n n O m o n O s k O	native
অন্যাজ্য	o n n a j j o	native
অন্যান্য	o n n a n n O	native
অন্যাসক্ত	o n n a sh o kt O	native
অপকর্ম	o p O k o r m O	native
অপকর্ষ	o p O k o r sh O	tatsama
অপকৃশ্ট	o p O k ri sh T O	tatsama
অপকেন্দ্র	o p O k e ndr O	native
অপক্ব	o p O k k O	native
অপছন্দ	o p O chh O nd O	native
অপত্য	o p o t t O	native
অপথ্য	o p o t th O	native
অপদস্ত	o p O d o st o	native
অপদস্থ	o p O d o sth O	native
অপদার্থ	o p O d a r th O	native
অপন্য	o p o n n O	native
অপবর্গ	o p O b o r g O	native
অপবিত্র	o p O b i tr O	native
অপরপক্ষ	o p O r p o kkh o	tatsama
অপরাধকর্ম	o p O r a dh k o r m o	native
অপরাধমুক্ত	o p O r a dh m u kt o	native
অপরাধসংক্রান্ত	o p o r a dh sh o ng kr a nt o	compound
অপরাধিচক্র	o p O r a dh i ch o kr O	native
অপরামর্শ	o p O r a m o r sh O	native
অপরাস্ত	o p O r a st O	native
অপরাহ্ন	o p o r a h n o	native
অপরিচ্ছন্ন	o p O r i ch chh o nn O	native
অপরিচ্ছিন্ন	o p O r i ch chh o nn O	native
অপরিতৃপ্ত	o p O r i t r i p t O	tatsama
অপরিত্যাজ্য	o p O r i t A j j O	native
অপরিপক্ক	o p O r i p o k k O	native
অপরিপক্ব	o p O r i p o k k O	native
অপরিপুর্ন	o p O r i p u r n O	native
অপরিবর্তনজোগ্য	o p o r i b o r t o n o j O g g o	compound
অপরিশুদ্ধ	o p O r i sh u d dh O	tatsama
অপরিশোধ্য	o p O r i sh O dh dh o	native
অপরিহার্য	o p O r i h a r j O	native
অপরোক্ষ	o p O r O kkh O	tatsama
অপর্যাপ্ত	o p O r j a p t O	native
অপশব্দ	o p O sh o b d O	native
অপসারনজোগ্য	o p O sh a r o n j O g g o	native
অপসারনসংক্রান্ত	o p o sh a r o n sh o ng kr a nt o	compound
অপসিদ্ধান্ত	o p O sh i d dh a nt O	tatsama
অপাচ্য	o p a ch ch O	native
অপাঠ্য	o p a Th Th O	native
অপাত্র	o p a tr O	native
অপারেশন্স	o p a r e sh o n s	loanword
অপিনদ্ধ	O p i n o d dh O	tatsama
অপুচ্ছ	O p u ch chh O	native
অপুর্ন	o p u r n O	native
অপুর্ব	o p u r b O	native
অপুশ্ট	o p u sh T O	native
অপূর্ণ	o p u r n O	tatsama
অপূর্ব	o p u r b O	native
অপোগন্ড	o p O g o n D O	native
অপ্ট	o p T O	native
অপ্রকম্প	o pr O k o mp O	native
অপ্রকাশ্য	o pr O k a sh sh O	native
অপ্রকৃতিস্থ	o pr O k r i t i sth O	tatsama
অপ্রগল্ভ	o pr O g o l bh O	native
অপ্রজত্ন	o pr O j o t n O	native
অপ্রজুক্ত	o pr O j u kt O	native
অপ্রতর্ক্য	o pr O t o r k O	native
অপ্রতিরোধ্য	o p r O t i r O d dh O	native
অপ্রতিশ্ঠ	o pr O t i sh Th O	native
অপ্রত্যক্ষ	o pr O t t o kkh O	tatsama
অপ্রধৃশ্য	o pr O dh r i sh sh O	tatsama
অপ্রমত্ত	o pr O m o tt O	native
অপ্রশস্ত	o pr O sh O st O	native
অপ্রশিক্ষনপ্রাপ্ত	o pr O sh i kkh o n pr a p t o	tatsama
অপ্রসন্ন	o pr O sh o nn O	native
অপ্রসিদ্ধ	o pr O sh i d dh O	tatsama
অপ্রাচুর্য	o pr a ch u r o j O	native
অপ্রাপ্ত	o pr a p t O	native
অপ্রাপ্তবয়স্ক	o pr a p t o b o y o s k o	loanword
অপ্রাপ্য	o pr a p p O	native
অফিসকক্ষ	o ph i s k o kkh O	loanword
অফিসসংলগ্ন	o ph i s sh O ng l O g n O	loanword
অফিসার্স	o ph i s a r s	loanword
অফুরন্ত	O ph u r o nt O	native
অফেনাস্ট	o ph e n a sh T	loanword
অফেরতজোগ্য	o ph e r o t j O g g O	native
অফেরতযোগ্য	o ph e r o t j O g g O	native
অবকাশজাপনকেন্দ্র	o b o k a sh o j a p o n k e ndr O	compound
অবক্ষিপ্ত	o b O kkh i p t O	tatsama
অবচ্ছিন্ন	o b O ch chh i nn O	native
অবজেক্ট	o b O e k T	native
অবজ্ঞাপুর্ন	o b O g g a p u r n o	tatsama
অবতরনকেন্দ্র	o b O t o r o n k e ndr O	native
অবতির্ন	o b O t i r n O	native
অবদ্ধ	o b o d dh O	tatsama
অবদ্য	o b o d d O	native
অবধ্য	o b O d dh O	native
অবনম্র	o b O n o m r O	native
অবন্ত	o b o nt O	native
অবন্ধ্য	o b O n d dh O	tatsama
অববুদ্ধ	o b O b u d dh O	tatsama
অবমুক্ত	o b O m u kt O	native
অবরুদ্ধ	o b O r u d dh O	tatsama
অবরেন্য	o b O r e n n O	native
অবলম্ব	o b O l o mb O	native
অবলিপ্ত	o b O l i p t O	native
অবলুপ্ত	o b O l u p t O	native
অবশিশ্ট	o b o sh i sh T o	native
অবশিষ্ট	o b O sh i s T O	tatsama
অবশ্য	o b o sh sh O	native
অবশ্যকর্তব্য	o b O sh sh O k O r t O b b O	native
অবশ্যপাঠ্য	o b O sh sh O p a T Th O	native
অবসন্ন	o b O sh O nn O	native
অবসরপ্রাপ্ত	o b O sh o r pr a p t O	native
অবসাদগ্রস্ত	o b O sh a d gr O st O	native
অবস্থানপত্র	o b O sth a n p o tr O	native
অবস্থাপন্ন	o b O sth a p o nn O	native
অবস্থাসম্পন্ন	o b O sth a sh o mp O nn O	compound
অবাচ্য	o b a ch ch O	native
অবাধ্য	o b a d dh O	native
অবার্য	o b a r j O	native
অবিচ্ছন্ন	O b i ch chh o nn O	native
অবিচ্ছিন্ন	O b i ch chh i nn O	native
অবিচ্ছেদ্য	O b i ch chh e d d O	native
অবিজুক্ত	O b i j u kt O	native
অবিজ্ঞ	O b i g g O	tatsama
অবিদগ্ধ	O b i d o g dh O	native
অবিদ্ধ	O b i d dh O	tatsama
অবিন্যস্ত	O b i n n o st O	native
অবিপন্ন	O b i p o nn O	native
অবিভক্ত	O b i bh o kt O	native
অবিভাজ্য	o b i bh a j j O	native
অবিমিশ্র	O b i m i s r O	native
অবিমৃশ্য	O b i m ri sh sh O	tatsama
অবিরুদ্ধ	O b i r u d dh O	tatsama
অবিলম্ব	O b i l o mb O	native
অবিশহ্য	O b i sh O j jh O	native
অবিশ্বস্ত	O b i sh sh o st O	tatsama
অবিশ্বাস্য	O b i sh sh a sh sh O	tatsama
অবিশ্রান্ত	O b i s r a nt O	native
অবিস্তির্ন	O b i st i r n O	native
অবেক্ত	o b e kt O	native
অবোধ্য	o b O d dh o	native
অব্জ	o b j O	native
অব্দ	o b d O	native
অব্যক্ত	o b A kt O	native
অব্যর্থ	o b b A r th O	native
অব্যাহতিপত্র	o b b a h o t i p o tr O	native
অব্যাহতিপ্রাপ্ত	o b b a h o t i pr a p t o	compound
অব্যুৎপন্ন	O b b u t p O nn O	native
অভক্ত	o bh o kt O	native
অভগ্ন	o bh o g n O	native
অভদ্র	o bh o d r O	native
অভব্য	o bh O b b O	native
অভয়ারণ্য	o bh o y a r o n n O	tatsama
অভাগ্য	o bh a g g O	native
অভাবগ্রস্ত	o bh a b o gr O st O	native
অভাব্য	o bh a b b O	native
অভিকর্ষ	O bh i k o r sh O	tatsama
অভিকেন্দ্র	O bh i k e ndr O	native
অভিগ্রস্ত	O bh i g gr O st O	native
অভিজুক্ত	O bh i j u kt O	native
অভিজোগকেন্দ্র	O bh i j O g k e ndr O	compound
অভিজোগপত্র	O bh i j O g p o tr O	native
অভিজোগপত্রভুক্ত	O bh i j O g p o tr O bh u kt O	compound
অভিজোগসংক্রান্ত	O bh i j O g sh O ng kr a nt O	compound
অভিজ্ঞ	O bh i g g O	tatsama
অভিজ্ঞতালব্ধ	O bh i g g o t a l o b dh o	tatsama
অভিজ্ঞতাসংক্রান্ত	O bh i g g o t a sh o ng kr a nt o	tatsama
অভিজ্ঞতাসমৃদ্ধ	O bh i g g o t a sh o m r i d dh o	tatsama
অভিজ্ঞতাসম্পন্ন	O bh i g g O t a sh o mp O nn O	tatsama
অভিজ্ঞানপত্র	O bh i g g a n p o tr O	tatsama
অভিনন্দনজোগ্য	O bh i n o nd o n j O g g o	compound
অভিনন্দনপত্র	O bh i n o nd o n p o tr O	native
অভিনবত্ব	O bh i n o b O tt O	tatsama
অভিন্ন	O bh i nn O	native
অভিপন্ন	O bh i p o nn O	native
অভিবাসনসংক্রান্ত	O bh i b a sh o n sh o ng kr a nt o	compound
অভিব্যাপ্ত	O bh i b A p t O	native
অভিভাবকত্ব	O bh i bh a b O k o tt O	tatsama
অভিশপ্ত	O bh i sh o p t O	native
অভিশাপমুক্ত	O bh i sh a p m u kt O	native
অভিশিক্ত	O bh i sh i kt O	native
অভিশ্ট	o bh i sh T O	native
অভিষ্ট	O bh i shT O	tatsama
অভিসন্দর্ভ	O bh i sh o nd o r bh O	native
অভুক্ত	O bh u kt O	native
অভুতপুর্ব	o bh u t O p u r b O	native
অভোজ্য	o bh O j j O	native
অভ্যস্ত	o b bh o st O	native
অভ্র	o bh r O	native
অভ্রান্ত	o b bh r a nt O	native
অভয়ারন্য	o bh o y a r o n n o	native
অমনুশ্য	o m O n u sh sh O	native
অমনুশ্যত্ব	o m O n u sh sh O tt O	tatsama
অমন্দ	o m o nd O	native
অমরত্ব	o m O r o tt O	tatsama
অমর্ত্য	o m O r t O	native
অমাত্য	o m a t t O	native
অমান্য	o m a n n O	native
অমুখ্য	O m u k kh O	native
অমুত্র	O m u tr O	native
অমুর্ত	O m u r t O	native
অমুল্য	o m u l l O	native
অমেধ্য	o m e d dh O	native
অমেয়ানন্দ	o m e y a n o nd O	native
অম্র	o m r O	native
অম্ল	o m l O	native
অম্লাক্ত	o m l a kt O	native
অযত্ন	o j o t n O	native
অরক্ষ্য	o r o kkh O	tatsama
অরঘট্ট	o r O gh o T T O	native
অরচার্ড	o r o ch a r D	loanword
অরণ্য	o r O n n O	tatsama
অরন্য	o r O n n O	native
অরবিন্দ	o r O b i nd O	native
অরলিন্স	o r o l i n s o	loanword
অরিত্র	O r i tr O	native
অরিশ্ট	O r i sh T O	native
অরেঞ্জ	o r e nj	tatsama
অর্ক	o r k O	native
অর্গ	o r g O	native
অর্ঘ	o r gh O	native
অর্ঘ্য	o r gh O	native
অর্ডন্যান্স	o r D o n n a n s	loanword
অর্ডিনেন্স	o r D i n e n s	loanword
অর্ডিন্যান্স	o r D i n A n s	loanword
অর্থ	o r th O	native
অর্থকশ্ট	o r th O k o sh T O	native
অর্থজুক্ত	o r th O j u kt o	native
অর্থদন্ড	o r th O d o n D O	native
অর্থপুর্ন	o r th O p u r n O	native
অর্থবরাদ্দ	o r th O b o r a d d o	native
অর্থবিত্ত	o r th O b i tt O	native
অর্থভাগ্য	o r th O bh a g g O	native
অর্থমুল্য	o r th O m u l l O	native
অর্থশাস্ত্র	o r th O sh a s t r O	native
অর্থসংক্রান্ত	o r th O sh o ng kr a nt o	compound
অর্থসাহাজ্য	o r th O sh a h a j j O	native
অর্থসাহায্য	o r th O sh a h a j j O	native
অর্থায়নপুশ্ট	o r th a y o n p u sh T o	native
অর্থোডক্স	o r th O D o k s	loanword
অর্থোপেডিক্স	o r th O p e D i k s	loanword
অর্ধ	o r dh O	native
অর্ধনগ্ন	o r dh O n o g n O	native
অর্ধভুক্ত	o r dh O bh u kt o	native
অর্ধলক্ষ	o r dh O l o kkh O	tatsama
অর্ধসত্য	o r dh O sh O t t O	native
অর্ধসমাপ্ত	o r dh O sh o m a p t O	native
অর্ধাবশিশ্ট	o r dh a b O sh i sh T O	native
অর্ধার্ধ	o r dh a r dh O	native
অল্প	o l p O	native
অল্পস্বল্প	o l p O sh o l p O	tatsama
অশুদ্ধ	o sh u d dh O	tatsama
অশ্রুসিক্ত	O s r u sh i kt O	loanword
অসংখ্য	o sh O ng kh O	native
অসংলগ্ন	o sh o ng l o g n O	native
অসতর্ক	o sh o t O r k O	native
অসহ্য	o sh O j jh O	native
অস্ত	o st O	native
অস্তিত্ব	O st i tt O	tatsama
অস্ত্রশস্ত্র	o s t r O sh o s t r O	native
অস্বচ্ছ	o sh O ch chh O	tatsama
অ্যাকাউন্টেন্ট	A k a u n T e n T	loanword
অ্যাম্বুলেন্স	A mb u l e n s	loanword
অ্যালার্ম	A l a r m	loanword
আকণ্ঠ	a k o n Th O	tatsama
আকৃষ্ট	a k ri shT O	tatsama
আখন্দ	a kh o nd	native
আগষ্ট	a g O s T	loanword
আজন্ম	a j o n m O	native
আদিত্য	a d i t t O	native
আধিপত্য	a dh i p o t t O	native
আনন্দ	a n O nd O	native
আনুকূল্য	a n u k u l l O	native
আপসযোগ্য	a p O sh j O g g O	native
আবাদজোগ্য	a b a d j O g g O	native
আবাল্য	a b a l l O	native
আবাসনশিল্প	a b a sh o n sh i l p o	tatsama
আবিদ্ধ	a b i d dh O	tatsama
আবিশ্ট	a b i sh T O	native
আবৃত্ত	a b ri tt O	tatsama
আবেগপুর্ন	a b e g p u r n O	native
আবেগাক্রান্ত	a b e g a kr a nt O	native
আবেদনপত্র	a b e d O n p o tr O	native
আব্দ	a b d O	native
আব্রহ্ম	a br O m m O	tatsama
আভিজাত্য	a bh i j a t t O	native
আভিমুখ্য	a bh i m u k kh O	native
আমদানিজোগ্য	a m d a n i j O g g o	native
আমদানিপন্য	a m d a n i p o n n o	native
আমদানিমুল্য	a m d a n i m u l l o	native
আমদানিশুল্ক	a m d a n i sh u l k o	native
আমদ্রপ্ত	a m d r O p t	native
আমন্ড	a m O n D	native
আমন্ত্রনপত্র	a m O nt r O n p o tr O	native
আমরক্ত	a m o r o kt o	native
আমর্ষ	a m o r sh O	tatsama
আমলজোগ্য	a m o l j O g g o	native
আমলযোগ্য	a m O l j O g g O	native
আমলাতন্ত্র	a m l a t o n t r O	native
আমসত্ত্ব	a m sh o t t O	tatsama
আমান্ন	a m a nn O	native
আমিশসমৃদ্ধ	a m i sh sh o m r i d dh o	tatsama
